"Description: ","Annual sum of 18 - TM"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, hddheat18, normalised (all years)
2008, 530.7, 0.425923448055994
2009, 633.35, 1.38218427611646
2010, 553.7, 0.640185494284836
2011, 536.55, 0.480420533727242
2012, -99.9, -99.9
2013, 570.9, 0.800416241899447
2014, 399.85, -0.79304128016331
2015, 367.65, -1.09300814488369
2016, -99.9, -99.9
2017, 301.15, -1.71250493071925
2018, 564.85, 0.744056008000122
2019, 403.35, -0.760436186171964
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 578.75, 0.873544809851465
2023, 378.95, -0.987740269997345
2024, -99.9, -99.9
