"Description: ","Annual sum of daily precipitation >= 1.0 mm"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, prcptot, normalised (all years)
2008, -99.9, -99.9
2009, 1598.6, 0.474802552732178
2010, 1280, -0.395132808101207
2011, 1073.6, -0.95870675184261
2012, -99.9, -99.9
2013, 1310, -0.313217990696934
2014, 1894.4, 1.28248265233832
2015, 1853.2, 1.16998630310311
2016, -99.9, -99.9
2017, -99.9, -99.9
2018, -99.9, -99.9
2019, 1749, 0.885468837318936
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 848.4, -1.57361398115736
2023, 1215.2, -0.572068813694438
2024, -99.9, -99.9
