"Description: ","Monthly sum of daily precipitation >= 1.0 mm"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, prcptot, normalised (all years)
2008-01, 142.6, 0.307089778551458
2008-02, 102, -0.104783937363342
2008-03, 118.2, 0.059559762090347
2008-04, 53.4, -0.597815035724407
2008-05, 76.8, -0.360429692069079
2008-06, -99.9, -99.9
2008-07, 67.2, -0.457818551004598
2008-08, 97.2, -0.153478366831101
2008-09, 30, -0.835200379379735
2008-10, 201.4, 0.903596539531513
2008-11, 14.2, -0.99548620971111
2008-12, 24.2, -0.894039481653278
2009-01, 108.4, -0.0398580314063287
2009-02, 132.2, 0.201585181371312
2009-03, 138.4, 0.264482152767169
2009-04, 24.8, -0.887952677969808
2009-05, 91.4, -0.212317469104644
2009-06, 16.8, -0.969110060416074
2009-07, 26.6, -0.869692266919398
2009-08, 27, -0.865634397797085
2009-09, 119.8, 0.0757912385796002
2009-10, 45.8, -0.67491454904836
2009-11, 558.4, 4.52524473119613
2009-12, 309, 1.99516333343379
2010-01, 167.4, 0.558677664134883
2010-02, 302.6, 1.93023742747678
2010-03, 134.2, 0.221874526982879
2010-04, 30.4, -0.831142510257422
2010-05, 186.4, 0.751426447444764
2010-06, 4, -1.0989618723301
2010-07, 126, 0.138688209975456
2010-08, 7.2, -1.06649891935159
2010-09, 161.2, 0.495780692739026
2010-10, 45.2, -0.68100135273183
2010-11, 21.2, -0.924473500070627
2010-12, 94.2, -0.183912385248451
2011-01, 118.4, 0.0615886966515037
2011-02, 74.8, -0.380719037680646
2011-03, 79.8, -0.329995673651729
2011-04, 56.2, -0.569409951868214
2011-05, 55.6, -0.575496755551684
2011-06, 55, -0.581583559235154
2011-07, 56.6, -0.565352082745901
2011-08, 96.4, -0.161594105075728
2011-09, 74.8, -0.380719037680646
2011-10, 178.6, 0.672297999559655
2011-11, 54.2, -0.58969929747978
2011-12, 173.2, 0.617516766408425
2012-01, 51, -0.622162250458287
2012-02, 98.2, -0.143333694025318
2012-03, 42.2, -0.711435371149179
2012-04, 143, 0.311147647673771
2012-05, 38.6, -0.747956193249999
2012-06, 38.2, -0.752014062372312
2012-07, 30.6, -0.829113575696265
2012-08, 136, 0.240134938033289
2012-09, -99.9, -99.9
2012-10, -99.9, -99.9
2012-11, 35, -0.784477015350819
2012-12, 309, 1.99516333343379
2013-01, 150.8, 0.390276095558881
2013-02, 260.8, 1.50619010419504
2013-03, 150, 0.382160357314254
2013-04, 86.6, -0.261011898572403
2013-05, 94.2, -0.183912385248451
2013-06, 26, -0.875779070602868
2013-07, 95.2, -0.173767712442668
2013-08, 13.6, -1.00157301339458
2013-09, 45, -0.683030287292986
2013-10, 80.2, -0.325937804529416
2013-11, 216.4, 1.05576663161826
2013-12, 91.2, -0.2143464036658
2014-01, 153.8, 0.420710113976231
2014-02, 293.8, 1.84096430678588
2014-03, 198.8, 0.877220390236476
2014-04, 82, -0.307677393479006
2014-05, 141.6, 0.296945105745675
2014-06, 82.4, -0.303619524356693
2014-07, 88.6, -0.240722552960837
2014-08, 23, -0.906213089020218
2014-09, 211.6, 1.0070722021505
2014-10, 130.4, 0.183324770320903
2014-11, 51.2, -0.62013331589713
2014-12, 437.2, 3.2957103871352
2015-01, 208.8, 0.978667118294309
2015-02, 141.8, 0.298974040306832
2015-03, 92, -0.206230665421174
2015-04, 28.4, -0.851431855868988
2015-05, 106, -0.0642052461402085
2015-06, 53.6, -0.59578610116325
2015-07, 75.2, -0.376661168558332
2015-08, 166, 0.544475122206786
2015-09, 59.4, -0.536946998889708
2015-10, 316.6, 2.07226284675774
2015-11, 245, 1.34590427386366
2015-12, 360.4, 2.51659951565105
2016-01, 114.4, 0.0210100054283707
2016-02, 92.2, -0.204201730860017
2016-03, 122.8, 0.10622525699695
2016-04, -99.9, -99.9
2016-05, -99.9, -99.9
2016-06, -99.9, -99.9
2016-07, -99.9, -99.9
2016-08, 83.6, -0.291445916989753
2016-09, 23.8, -0.898097350775591
2016-10, 239, 1.28503623702896
2016-11, 84.2, -0.285359113306283
2016-12, 76.6, -0.362458626630236
2017-01, 87, -0.25695402945009
2017-02, 175.6, 0.641863981142305
2017-03, 89.6, -0.230577880155054
2017-04, 280.8, 1.7090835603107
2017-05, 246.6, 1.36213575035292
2017-06, 78.4, -0.344198215579826
2017-07, 78.6, -0.342169281018669
2017-08, 144.4, 0.325350189601868
2017-09, -99.9, -99.9
2017-10, 84, -0.28738804786744
2017-11, 87.8, -0.248838291205464
2017-12, 70.8, -0.421297728903779
2018-01, 115.8, 0.0352125473564672
2018-02, 52.6, -0.605930773969034
2018-03, 131, 0.189411574004373
2018-04, 59.2, -0.538975933450864
2018-05, 167, 0.554619795012569
2018-06, 50.2, -0.630277988702913
2018-07, 79.6, -0.332024608212886
2018-08, 59, -0.541004868012021
2018-09, 145.4, 0.335494862407651
2018-10, 47.6, -0.65665413799795
2018-11, -99.9, -99.9
2018-12, -99.9, -99.9
2019-01, 684, 5.79941563560251
2019-02, 57, -0.561294213623587
2019-03, 61.2, -0.518686587839298
2019-04, 160.8, 0.491722823616713
2019-05, 113.2, 0.00883639806143082
2019-06, 12.6, -1.01171768620036
2019-07, 89.2, -0.234635749277367
2019-08, 35, -0.784477015350819
2019-09, 18.2, -0.954907518487977
2019-10, 218.6, 1.07808491179098
2019-11, 216.4, 1.05576663161826
2019-12, 82.8, -0.29956165523438
2020-01, 159, 0.473462412566303
2020-02, 104.2, -0.0824656571906184
2020-03, 49.8, -0.634335857825227
2020-04, 35, -0.784477015350819
2020-05, 309.6, 2.00125013711726
2020-06, 101.4, -0.110870741046811
2020-07, 14.8, -0.98939940602764
2020-08, 23.8, -0.898097350775591
2020-09, 95.6, -0.169709843320354
2020-10, -99.9, -99.9
2020-11, -99.9, -99.9
2020-12, -99.9, -99.9
2021-01, -99.9, -99.9
2021-02, 61.8, -0.512599784155828
2021-03, 164.6, 0.530272580278689
2021-04, 41.8, -0.715493240271493
2021-05, 175.2, 0.637806112019992
2021-06, 119, 0.0676755003349736
2021-07, 22.6, -0.910270958142531
2021-08, 24.6, -0.889981612530964
2021-09, 128.2, 0.161006490148179
2021-10, 87.6, -0.25086722576662
2021-11, 78, -0.348256084702139
2021-12, 31.2, -0.823026772012795
2022-01, 22, -0.916357761826001
2022-02, 45.6, -0.676943483609516
2022-03, 174.4, 0.629690373775365
2022-04, 140, 0.280713629256422
2022-05, 44.2, -0.691146025537613
2022-06, 33.8, -0.796650622717759
2022-07, 102.4, -0.100726068241028
2022-08, 98.8, -0.137246890341848
2022-09, 24.4, -0.892010547092121
2022-10, 91.6, -0.210288534543487
2022-11, 31.8, -0.816939968329325
2022-12, 39.4, -0.739840455005373
2023-01, 16.4, -0.973167929538387
2023-02, 30.4, -0.831142510257422
2023-03, 191.4, 0.80214981147368
2023-04, 16, -0.9772257986607
2023-05, 125.8, 0.1366592754143
2023-06, 39.2, -0.741869389566529
2023-07, 20, -0.936647107437567
2023-08, 13.4, -1.00360194795574
2023-09, 256.2, 1.45952460928843
2023-10, 171.2, 0.597227420796859
2023-11, 70.6, -0.423326663464935
2023-12, 264.6, 1.54473986085701
2024-01, 92, -0.206230665421174
2024-02, 54.8, -0.583612493796311
2024-03, 426, 3.18209005171043
2024-04, 263, 1.52850838436776
2024-05, 53.6, -0.59578610116325
2024-06, -99.9, -99.9
