"Description: ","Annual number of days when precipitation >= 10 mm"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, r10mm, normalised (all years)
2008, -99.9, -99.9
2009, 44, 0.321869699723512
2010, 38, -0.257495759778809
2011, 29, -1.12654394903229
2012, -99.9, -99.9
2013, 40, -0.0643739399447021
2014, 56, 1.48060061872815
2015, 58, 1.67372243856226
2016, -99.9, -99.9
2017, -99.9, -99.9
2018, -99.9, -99.9
2019, 35, -0.54717848952997
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 30, -1.02998303911524
2023, 36, -0.450617579612916
2024, -99.9, -99.9
