"Description: ","Monthly number of days when precipitation >= 10 mm"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, r10mm, normalised (all years)
2008-01, 4, 0.326225665069
2008-02, 1, -0.953044978665866
2008-03, 4, 0.326225665069
2008-04, 2, -0.526621430754244
2008-05, 2, -0.526621430754244
2008-06, -99.9, -99.9
2008-07, 2, -0.526621430754244
2008-08, 4, 0.326225665069
2008-09, 2, -0.526621430754244
2008-10, 4, 0.326225665069
2008-11, 0, -1.37946852657749
2008-12, 0, -1.37946852657749
2009-01, 3, -0.100197882842622
2009-02, 4, 0.326225665069
2009-03, 2, -0.526621430754244
2009-04, 0, -1.37946852657749
2009-05, 2, -0.526621430754244
2009-06, 1, -0.953044978665866
2009-07, 1, -0.953044978665866
2009-08, 2, -0.526621430754244
2009-09, 4, 0.326225665069
2009-10, 2, -0.526621430754244
2009-11, 15, 5.01688469209684
2009-12, 8, 2.03191985671549
2010-01, 4, 0.326225665069
2010-02, 7, 1.60549630880387
2010-03, 3, -0.100197882842622
2010-04, 1, -0.953044978665866
2010-05, 4, 0.326225665069
2010-06, 0, -1.37946852657749
2010-07, 5, 0.752649212980622
2010-08, 0, -1.37946852657749
2010-09, 6, 1.17907276089224
2010-10, 3, -0.100197882842622
2010-11, 1, -0.953044978665866
2010-12, 4, 0.326225665069
2011-01, 4, 0.326225665069
2011-02, 2, -0.526621430754244
2011-03, 3, -0.100197882842622
2011-04, 1, -0.953044978665866
2011-05, 2, -0.526621430754244
2011-06, 2, -0.526621430754244
2011-07, 2, -0.526621430754244
2011-08, 3, -0.100197882842622
2011-09, 1, -0.953044978665866
2011-10, 5, 0.752649212980622
2011-11, 2, -0.526621430754244
2011-12, 2, -0.526621430754244
2012-01, 2, -0.526621430754244
2012-02, 4, 0.326225665069
2012-03, 1, -0.953044978665866
2012-04, 5, 0.752649212980622
2012-05, 2, -0.526621430754244
2012-06, 2, -0.526621430754244
2012-07, 2, -0.526621430754244
2012-08, 4, 0.326225665069
2012-09, -99.9, -99.9
2012-10, -99.9, -99.9
2012-11, 2, -0.526621430754244
2012-12, 9, 2.45834340462711
2013-01, 5, 0.752649212980622
2013-02, 6, 1.17907276089224
2013-03, 4, 0.326225665069
2013-04, 3, -0.100197882842622
2013-05, 4, 0.326225665069
2013-06, 1, -0.953044978665866
2013-07, 4, 0.326225665069
2013-08, 0, -1.37946852657749
2013-09, 1, -0.953044978665866
2013-10, 3, -0.100197882842622
2013-11, 6, 1.17907276089224
2013-12, 3, -0.100197882842622
2014-01, 5, 0.752649212980622
2014-02, 9, 2.45834340462711
2014-03, 4, 0.326225665069
2014-04, 2, -0.526621430754244
2014-05, 2, -0.526621430754244
2014-06, 4, 0.326225665069
2014-07, 4, 0.326225665069
2014-08, 1, -0.953044978665866
2014-09, 7, 1.60549630880387
2014-10, 6, 1.17907276089224
2014-11, 2, -0.526621430754244
2014-12, 10, 2.88476695253873
2015-01, 7, 1.60549630880387
2015-02, 4, 0.326225665069
2015-03, 2, -0.526621430754244
2015-04, 1, -0.953044978665866
2015-05, 3, -0.100197882842622
2015-06, 3, -0.100197882842622
2015-07, 2, -0.526621430754244
2015-08, 4, 0.326225665069
2015-09, 3, -0.100197882842622
2015-10, 10, 2.88476695253873
2015-11, 8, 2.03191985671549
2015-12, 11, 3.31119050045035
2016-01, 3, -0.100197882842622
2016-02, 4, 0.326225665069
2016-03, 4, 0.326225665069
2016-04, -99.9, -99.9
2016-05, -99.9, -99.9
2016-06, -99.9, -99.9
2016-07, -99.9, -99.9
2016-08, 2, -0.526621430754244
2016-09, 1, -0.953044978665866
2016-10, 6, 1.17907276089224
2016-11, 2, -0.526621430754244
2016-12, 2, -0.526621430754244
2017-01, 3, -0.100197882842622
2017-02, 4, 0.326225665069
2017-03, 4, 0.326225665069
2017-04, 5, 0.752649212980622
2017-05, 4, 0.326225665069
2017-06, 4, 0.326225665069
2017-07, 3, -0.100197882842622
2017-08, 6, 1.17907276089224
2017-09, -99.9, -99.9
2017-10, 3, -0.100197882842622
2017-11, 2, -0.526621430754244
2017-12, 3, -0.100197882842622
2018-01, 6, 1.17907276089224
2018-02, 3, -0.100197882842622
2018-03, 4, 0.326225665069
2018-04, 1, -0.953044978665866
2018-05, 5, 0.752649212980622
2018-06, 1, -0.953044978665866
2018-07, 2, -0.526621430754244
2018-08, 1, -0.953044978665866
2018-09, 5, 0.752649212980622
2018-10, 3, -0.100197882842622
2018-11, -99.9, -99.9
2018-12, -99.9, -99.9
2019-01, 7, 1.60549630880387
2019-02, 2, -0.526621430754244
2019-03, 1, -0.953044978665866
2019-04, 5, 0.752649212980622
2019-05, 2, -0.526621430754244
2019-06, 0, -1.37946852657749
2019-07, 3, -0.100197882842622
2019-08, 1, -0.953044978665866
2019-09, 1, -0.953044978665866
2019-10, 6, 1.17907276089224
2019-11, 4, 0.326225665069
2019-12, 3, -0.100197882842622
2020-01, 6, 1.17907276089224
2020-02, 3, -0.100197882842622
2020-03, 2, -0.526621430754244
2020-04, 1, -0.953044978665866
2020-05, 4, 0.326225665069
2020-06, 4, 0.326225665069
2020-07, 0, -1.37946852657749
2020-08, 1, -0.953044978665866
2020-09, 3, -0.100197882842622
2020-10, -99.9, -99.9
2020-11, -99.9, -99.9
2020-12, -99.9, -99.9
2021-01, -99.9, -99.9
2021-02, 1, -0.953044978665866
2021-03, 4, 0.326225665069
2021-04, 2, -0.526621430754244
2021-05, 4, 0.326225665069
2021-06, 3, -0.100197882842622
2021-07, 1, -0.953044978665866
2021-08, 1, -0.953044978665866
2021-09, 3, -0.100197882842622
2021-10, 2, -0.526621430754244
2021-11, 3, -0.100197882842622
2021-12, 1, -0.953044978665866
2022-01, 1, -0.953044978665866
2022-02, 2, -0.526621430754244
2022-03, 7, 1.60549630880387
2022-04, 4, 0.326225665069
2022-05, 1, -0.953044978665866
2022-06, 1, -0.953044978665866
2022-07, 4, 0.326225665069
2022-08, 2, -0.526621430754244
2022-09, 1, -0.953044978665866
2022-10, 3, -0.100197882842622
2022-11, 2, -0.526621430754244
2022-12, 2, -0.526621430754244
2023-01, 0, -1.37946852657749
2023-02, 0, -1.37946852657749
2023-03, 6, 1.17907276089224
2023-04, 1, -0.953044978665866
2023-05, 3, -0.100197882842622
2023-06, 2, -0.526621430754244
2023-07, 0, -1.37946852657749
2023-08, 1, -0.953044978665866
2023-09, 7, 1.60549630880387
2023-10, 5, 0.752649212980622
2023-11, 4, 0.326225665069
2023-12, 7, 1.60549630880387
2024-01, 4, 0.326225665069
2024-02, 2, -0.526621430754244
2024-03, 8, 2.03191985671549
2024-04, 7, 1.60549630880387
2024-05, 2, -0.526621430754244
2024-06, -99.9, -99.9
2024-07, -99.9, -99.9
2024-08, -99.9, -99.9
2024-09, -99.9, -99.9
2024-10, -99.9, -99.9
2024-11, -99.9, -99.9
2024-12, -99.9, -99.9
