"Description: ","Number of days when precipitation >= 30"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, r30mm, normalised (all years)
2008, -99.9, -99.9
2009, 21, 1.03301070232167
2010, 14, -0.295145914949049
2011, 12, -0.674619234169254
2012, -99.9, -99.9
2013, 16, 0.0843274042711568
2014, 19, 0.653537383101465
2015, 22, 1.22274736193177
2016, -99.9, -99.9
2017, -99.9, -99.9
2018, -99.9, -99.9
2019, 19, 0.653537383101465
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 6, -1.81303919182987
2023, 11, -0.864355893779357
2024, -99.9, -99.9
