"Description: ","Number of days when precipitation >= 30"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, r30mm, normalised (all years)
2008-01, 2, 0.567591510943232
2008-02, 1, -0.115758794995001
2008-03, 2, 0.567591510943232
2008-04, 0, -0.799109100933234
2008-05, 1, -0.115758794995001
2008-06, -99.9, -99.9
2008-07, 0, -0.799109100933234
2008-08, 1, -0.115758794995001
2008-09, 0, -0.799109100933234
2008-10, 4, 1.9342921228197
2008-11, 0, -0.799109100933234
2008-12, 0, -0.799109100933234
2009-01, 2, 0.567591510943232
2009-02, 2, 0.567591510943232
2009-03, 1, -0.115758794995001
2009-04, 0, -0.799109100933234
2009-05, 1, -0.115758794995001
2009-06, 0, -0.799109100933234
2009-07, 0, -0.799109100933234
2009-08, 0, -0.799109100933234
2009-09, 1, -0.115758794995001
2009-10, 0, -0.799109100933234
2009-11, 8, 4.66769334657263
2009-12, 6, 3.30099273469616
2010-01, 3, 1.25094181688146
2010-02, 4, 1.9342921228197
2010-03, 1, -0.115758794995001
2010-04, 0, -0.799109100933234
2010-05, 3, 1.25094181688146
2010-06, 0, -0.799109100933234
2010-07, 1, -0.115758794995001
2010-08, 0, -0.799109100933234
2010-09, 1, -0.115758794995001
2010-10, 0, -0.799109100933234
2010-11, 0, -0.799109100933234
2010-12, 1, -0.115758794995001
2011-01, 0, -0.799109100933234
2011-02, 1, -0.115758794995001
2011-03, 1, -0.115758794995001
2011-04, 1, -0.115758794995001
2011-05, 1, -0.115758794995001
2011-06, 0, -0.799109100933234
2011-07, 0, -0.799109100933234
2011-08, 2, 0.567591510943232
2011-09, 1, -0.115758794995001
2011-10, 3, 1.25094181688146
2011-11, 0, -0.799109100933234
2011-12, 2, 0.567591510943232
2012-01, 0, -0.799109100933234
2012-02, 1, -0.115758794995001
2012-03, 0, -0.799109100933234
2012-04, 2, 0.567591510943232
2012-05, 0, -0.799109100933234
2012-06, 0, -0.799109100933234
2012-07, 0, -0.799109100933234
2012-08, 2, 0.567591510943232
2012-09, -99.9, -99.9
2012-10, -99.9, -99.9
2012-11, 0, -0.799109100933234
2012-12, 6, 3.30099273469616
2013-01, 3, 1.25094181688146
2013-02, 2, 0.567591510943232
2013-03, 2, 0.567591510943232
2013-04, 1, -0.115758794995001
2013-05, 1, -0.115758794995001
2013-06, 0, -0.799109100933234
2013-07, 1, -0.115758794995001
2013-08, 0, -0.799109100933234
2013-09, 1, -0.115758794995001
2013-10, 1, -0.115758794995001
2013-11, 3, 1.25094181688146
2013-12, 1, -0.115758794995001
2014-01, 1, -0.115758794995001
2014-02, 4, 1.9342921228197
2014-03, 2, 0.567591510943232
2014-04, 1, -0.115758794995001
2014-05, 1, -0.115758794995001
2014-06, 0, -0.799109100933234
2014-07, 0, -0.799109100933234
2014-08, 0, -0.799109100933234
2014-09, 4, 1.9342921228197
2014-10, 1, -0.115758794995001
2014-11, 0, -0.799109100933234
2014-12, 5, 2.61764242875793
2015-01, 3, 1.25094181688146
2015-02, 3, 1.25094181688146
2015-03, 1, -0.115758794995001
2015-04, 0, -0.799109100933234
2015-05, 2, 0.567591510943232
2015-06, 0, -0.799109100933234
2015-07, 1, -0.115758794995001
2015-08, 1, -0.115758794995001
2015-09, 0, -0.799109100933234
2015-10, 4, 1.9342921228197
2015-11, 2, 0.567591510943232
2015-12, 5, 2.61764242875793
2016-01, 1, -0.115758794995001
2016-02, 1, -0.115758794995001
2016-03, 1, -0.115758794995001
2016-04, -99.9, -99.9
2016-05, -99.9, -99.9
2016-06, -99.9, -99.9
2016-07, -99.9, -99.9
2016-08, 1, -0.115758794995001
2016-09, 0, -0.799109100933234
2016-10, 3, 1.25094181688146
2016-11, 1, -0.115758794995001
2016-12, 1, -0.115758794995001
2017-01, 0, -0.799109100933234
2017-02, 1, -0.115758794995001
2017-03, 0, -0.799109100933234
2017-04, 2, 0.567591510943232
2017-05, 2, 0.567591510943232
2017-06, 1, -0.115758794995001
2017-07, 1, -0.115758794995001
2017-08, 1, -0.115758794995001
2017-09, -99.9, -99.9
2017-10, 0, -0.799109100933234
2017-11, 1, -0.115758794995001
2017-12, 0, -0.799109100933234
2018-01, 0, -0.799109100933234
2018-02, 0, -0.799109100933234
2018-03, 2, 0.567591510943232
2018-04, 1, -0.115758794995001
2018-05, 2, 0.567591510943232
2018-06, 0, -0.799109100933234
2018-07, 1, -0.115758794995001
2018-08, 1, -0.115758794995001
2018-09, 1, -0.115758794995001
2018-10, 0, -0.799109100933234
2018-11, -99.9, -99.9
2018-12, -99.9, -99.9
2019-01, 7, 3.9843430406344
2019-02, 0, -0.799109100933234
2019-03, 1, -0.115758794995001
2019-04, 3, 1.25094181688146
2019-05, 1, -0.115758794995001
2019-06, 0, -0.799109100933234
2019-07, 1, -0.115758794995001
2019-08, 0, -0.799109100933234
2019-09, 0, -0.799109100933234
2019-10, 2, 0.567591510943232
2019-11, 3, 1.25094181688146
2019-12, 1, -0.115758794995001
2020-01, 1, -0.115758794995001
2020-02, 1, -0.115758794995001
2020-03, 0, -0.799109100933234
2020-04, 0, -0.799109100933234
2020-05, 3, 1.25094181688146
2020-06, 1, -0.115758794995001
2020-07, 0, -0.799109100933234
2020-08, 0, -0.799109100933234
2020-09, 1, -0.115758794995001
2020-10, -99.9, -99.9
2020-11, -99.9, -99.9
2020-12, -99.9, -99.9
2021-01, -99.9, -99.9
2021-02, 1, -0.115758794995001
2021-03, 1, -0.115758794995001
2021-04, 0, -0.799109100933234
2021-05, 2, 0.567591510943232
2021-06, 2, 0.567591510943232
2021-07, 0, -0.799109100933234
2021-08, 0, -0.799109100933234
2021-09, 1, -0.115758794995001
2021-10, 2, 0.567591510943232
2021-11, 0, -0.799109100933234
2021-12, 1, -0.115758794995001
2022-01, 0, -0.799109100933234
2022-02, 0, -0.799109100933234
2022-03, 2, 0.567591510943232
2022-04, 2, 0.567591510943232
2022-05, 1, -0.115758794995001
2022-06, 0, -0.799109100933234
2022-07, 0, -0.799109100933234
2022-08, 1, -0.115758794995001
2022-09, 0, -0.799109100933234
2022-10, 0, -0.799109100933234
2022-11, 0, -0.799109100933234
2022-12, 0, -0.799109100933234
2023-01, 0, -0.799109100933234
2023-02, 0, -0.799109100933234
2023-03, 1, -0.115758794995001
2023-04, 0, -0.799109100933234
2023-05, 2, 0.567591510943232
2023-06, 0, -0.799109100933234
2023-07, 0, -0.799109100933234
2023-08, 0, -0.799109100933234
2023-09, 4, 1.9342921228197
2023-10, 1, -0.115758794995001
2023-11, 0, -0.799109100933234
2023-12, 3, 1.25094181688146
2024-01, 0, -0.799109100933234
2024-02, 0, -0.799109100933234
2024-03, 6, 3.30099273469616
2024-04, 3, 1.25094181688146
2024-05, 0, -0.799109100933234
2024-06, -99.9, -99.9
2024-07, -99.9, -99.9
2024-08, -99.9, -99.9
2024-09, -99.9, -99.9
2024-10, -99.9, -99.9
2024-11, -99.9, -99.9
2024-12, -99.9, -99.9
