"Description: ","Annual sum of daily precipitation > 95th percentile"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, r95p, normalised (all years)
2008, -99.9, -99.9
2009, 517, 0.876706705961119
2010, 352, -0.00296184697959831
2011, 282.2, -0.375088301496338
2012, -99.9, -99.9
2013, 191.4, -0.859172571841897
2014, 517.6, 0.879905500699086
2015, 336.4, -0.0861305101667208
2016, -99.9, -99.9
2017, -99.9, -99.9
2018, -99.9, -99.9
2019, 673.2, 1.709459602745
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 72.8, -1.49146766504656
2023, 230.4, -0.651250913874091
2024, -99.9, -99.9
