"Description: ","Maximum annual 1-day precipitation total"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, rx1day, normalised (all years)
2008, -99.9, -99.9
2009, 109, -0.101112857465304
2010, 103.8, -0.253760655187118
2011, 105.8, -0.195049963755651
2012, -99.9, -99.9
2013, 131.8, 0.568189024853418
2014, 116.6, 0.12198776997427
2015, 77, -1.04048392036877
2016, -99.9, -99.9
2017, -99.9, -99.9
2018, -99.9, -99.9
2019, 189.2, 2.25318586893651
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 72.8, -1.16377637237485
2023, 106, -0.189178894612504
2024, -99.9, -99.9
