"Description: ","Maximum 3-day precipitation total"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, rx3day, normalised (all years)
2008, -99.9, -99.9
2009, 158.8, 0.0132842899608582
2010, 135.4, -0.437953043225709
2011, 167, 0.17141019304333
2012, -99.9, -99.9
2013, 170.4, 0.236974591882404
2014, 152, -0.11784450771729
2015, 142.4, -0.302967516204086
2016, -99.9, -99.9
2017, -99.9, -99.9
2018, -99.9, -99.9
2019, 281, 2.36974591882404
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 94.6, -1.22472582929459
2023, 121.4, -0.707924097268954
2024, -99.9, -99.9
