"Description: ","Maximum 3-day precipitation total"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, rx3day, normalised (all years)
2008-01, 124.8, 1.41713832161229
2008-02, 115.2, 1.20828387013344
2008-03, 71.6, 0.259736569667001
2008-04, 45, -0.318964306305641
2008-05, 65.6, 0.129202537492721
2008-06, -99.9, -99.9
2008-07, 30, -0.645299386741342
2008-08, 48.6, -0.240643887001073
2008-09, 13.4, -1.00644354242352
2008-10, 101.8, 0.916757864944212
2008-11, 7.4, -1.1369775745978
2008-12, 11.8, -1.04125261766999
2009-01, 40.6, -0.414689263233447
2009-02, 73, 0.290194510507667
2009-03, 109.2, 1.07774983795916
2009-04, 11.6, -1.0456037520758
2009-05, 59.4, -0.00568262908736848
2009-06, 12.6, -1.02384808004675
2009-07, 19.2, -0.880260644655046
2009-08, 24.8, -0.758428881292385
2009-09, 55.6, -0.0883541827977459
2009-10, 30.8, -0.627894849118105
2009-11, 158.8, 2.15683117059988
2009-12, 109.4, 1.08210097236497
2010-01, 64.4, 0.103095731057865
2010-02, 135.4, 1.64774844512018
2010-03, 105.4, 0.995078284248781
2010-04, 28.2, -0.684459596393626
2010-05, 63.6, 0.0856911934346278
2010-06, 4.20000000000002, -1.20659572509075
2010-07, 68.4, 0.190118419174052
2010-08, 23.4, -0.78888682213305
2010-09, 59.2, -0.0100337634931777
2010-10, 21.6, -0.828047031785334
2010-11, 12.8, -1.01949694564095
2010-12, 40, -0.427742666450875
2011-01, 40.8, -0.410338128827637
2011-02, 38.8, -0.453849472885731
2011-03, 39.6, -0.436444935262493
2011-04, 53.8, -0.12751439245003
2011-05, 44.2, -0.336368843928879
2011-06, 30, -0.645299386741342
2011-07, 33, -0.580032370654202
2011-08, 40.4, -0.419040397639256
2011-09, 66.6, 0.150958209521768
2011-10, 58.6, -0.0230871667106058
2011-11, 32.8, -0.584383505060011
2011-12, 167, 2.33522768123806
2012-01, 22.4, -0.810642494162097
2012-02, 54.6, -0.110109854826793
2012-03, 31.4, -0.614841445900677
2012-04, 43, -0.362475650363735
2012-05, 20.2, -0.858504972626
