"Description: ","Maximum monthly 5-day precipitation total"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, rx5day, normalised (all years)
2008-01, 125, 1.10650740511553
2008-02, 155.6, 1.70522229778028
2008-03, 153.8, 1.67000377468235
2008-04, 47.2, -0.415715426561494
2008-05, 65.8, -0.0517906878829247
2008-06, -99.9, -99.9
2008-07, 30, -0.752247980608343
2008-08, 48.8, -0.384410072696671
2008-09, 13.4, -1.07704102695588
2008-10, 101.8, 0.652579774075597
2008-11, 12.4, -1.0966068731214
2008-12, 11.8, -1.10834638082071
2009-01, 43.8, -0.482239303524243
2009-02, 109, 0.793453866467301
2009-03, 110.8, 0.828672389565227
2009-04, 13.2, -1.08095419618899
2009-05, 59.4, -0.177012103342217
2009-06, 59.6, -0.173098934109114
2009-07, 19.4, -0.959645949962797
2009-08, 39.8, -0.560502688186301
2009-09, 55.6, -0.251362318771172
2009-10, 30.8, -0.736595303675932
2009-11, 175.6, 2.09653922109057
2009-12, 114, 0.891283097294873
2010-01, 89.4, 0.409963281623217
2010-02, 135.6, 1.31390537446999
2010-03, 123.6, 1.07911522048381
2010-04, 29, -0.771813826773858
2010-05, 64.2, -0.0830960417477478
2010-06, 19, -0.967472288429002
2010-07, 72.6, 0.0812570660425737
2010-08, 53, -0.30223351880151
2010-09, 65.4, -0.0596170263491303
2010-10, 21.6, -0.916601088398665
2010-11, 12.8, -1.08878053465519
2010-12, 40, -0.556589518953198
2011-01, 55.2, -0.259188657237378
2011-02, 48.4, -0.392236411162877
2011-03, 39.6, -0.564415857419404
2011-04, 54.4, -0.27484133416979
2011-05, 44.4, -0.470499795824935
2011-06, 30.4, -0.744421642142137
2011-07, 54.8, -0.267014995703584
2011-08, 46.4, -0.431368103493906
2011-09, 73, 0.0890834045087796
2011-10, 60.6, -0.1535330879436
2011-11, 32.8, -0.697463611344903
2011-12, 167, 1.92827294406714
2012-01, 22.4, -0.900948411466253
2012-02, 54.6, -0.270928164936687
2012-03, 31.4, -0.724855795976623
2012-04, 62.6, -0.114401395612571
2012-05, 38.6, -0.583981703584919
2012-06, 36, -0.634852903615256
2012-07, 30.6, -0.740508472909034
2012-08, 106, 0.734756327970758
2012-09, -99.9, -99.9
2012-10, -99.9, -99.9
2012-11, 34, -0.673984595946285
2012-12, 138.6, 1.37260291296653
2013-01, 106.4, 0.742582666436963
2013-02, 209.4, 2.75786482148496
2013-03, 56.4, -0.235709641838761
2013-04, 47, -0.419628595794597
2013-05, 43.2, -0.493978811223552
2013-06, 24, -0.86964305760143
2013-07, 58.4, -0.196577949507732
2013-08, 9.59999999999999, -1.15139124238484
2013-09, 44, -0.47832613429114
2013-10, 59.6, -0.173098934109114
2013-11, 107, 0.754322174136272
2013-12, 58, -0.204404287973938
2014-01, 93.2, 0.484313497052172
2014-02, 115, 0.910848943460388
2014-03, 154.6, 1.68565645161476
2014-04, 45.8, -0.443107611193214
2014-05, 100, 0.617361250977671
2014-06, 34.4, -0.666158257480079
2014-07, 43.8, -0.482239303524243
2014-08, 46.2, -0.435281272727008
2014-09, 85, 0.323873558494953
2014-10, 51.2, -0.337452041899436
2014-11, 96.2, 0.543011035548716
2014-12, 167.2, 1.93218611330024
2015-01, 95, 0.519532020150098
2015-02, 84.8, 0.31996038926185
2015-03, 52.8, -0.306146688034613
2015-04, 22.8, -0.893122073000047
2015-05, 58.4, -0.196577949507732
2015-06, 31.2, -0.728768965209726
2015-07, 59.4, -0.177012103342217
2015-08, 106.4, 0.742582666436963
2015-09, 59.4, -0.177012103342217
2015-10, 172, 2.02610217489471
2015-11, 88.8, 0.398223773923908
2015-12, 137.4, 1.34912389756791
2016-01, 58.2, -0.200491118740835
2016-02, 58.2, -0.200491118740835
2016-03, 72.4, 0.0773438968094711
2016-04, -99.9, -99.9
2016-05, -99.9, -99.9
2016-06, -99.9, -99.9
2016-07, -99.9, -99.9
2016-08, 72.6, 0.0812570660425737
2016-09, 18, -0.987038134594517
2016-10, 160, 1.79131202090854
2016-11, 48.6, -0.388323241929774
2016-12, 52.2, -0.317886195733922
2017-01, 63, -0.106575057146365
2017-02, 118.4, 0.977372820423137
2017-03, 42.2, -0.513544657389066
2017-04, 208.6, 2.74221214455254
2017-05, 126, 1.12607325128105
2017-06, 68.6, 0.00299368138051579
2017-07, 48.4, -0.392236411162877
2017-08, 73.8, 0.104736081441191
2017-09, -99.9, -99.9
2017-10, 32.4, -0.705289949811108
2017-11, 79.4, 0.214304819968072
2017-12, 35.6, -0.642679242081462
2018-01, 44.4, -0.470499795824935
2018-02, 29, -0.771813826773858
2018-03, 62.6, -0.114401395612571
2018-04, 46.8, -0.4235417650277
2018-05, 76.4, 0.155607281471529
2018-06, 35.2, -0.650505580547668
2018-07, 53.8, -0.286580841869098
2018-08, 43.6, -0.486152472757346
2018-09, 78.4, 0.194738973802558
2018-10, 65.4, -0.0596170263491303
2018-11, -99.9, -99.9
2018-12, -99.9, -99.9
2019-01, 369.8, 5.89622654643348
2019-02, 29, -0.771813826773858
2019-03, 48.4, -0.392236411162877
2019-04, 105.4, 0.723016820271449
2019-05, 67.2, -0.0243985032512043
2019-06, 8.40000000000003, -1.17487025778346
2019-07, 76.2, 0.151694112238426
2019-08, 27.8, -0.795292842172475
2019-09, 49.6, -0.368757395764259
2019-10, 112, 0.852151404963844
2019-11, 119.2, 0.993025497355549
2019-12, 56, -0.243535980304967
2020-01, 102, 0.6564929433087
2020-02, 103.4, 0.68388512794042
2020-03, 48.2, -0.396149580395979
2020-04, 27.6, -0.799206011405578
2020-05, 252.6, 3.60310937583518
2020-06, 50, -0.360931057298053
2020-07, 11.8, -1.10834638082071
2020-08, 28.8, -0.775726996006961
2020-09, 48.6, -0.388323241929774
2020-10, -99.9, -99.9
2020-11, -99.9, -99.9
2020-12, -99.9, -99.9
2021-01, -99.9, -99.9
2021-02, 66, -0.0478775186498218
2021-03, 95.8, 0.53518469708251
2021-04, 25.6, -0.838337703736607
2021-05, 106.2, 0.738669497203861
2021-06, 69.2, 0.0147331890798246
2021-07, 17.2, -1.00269081152693
2021-08, 23.4, -0.881382565300739
2021-09, 92.2, 0.464747650886658
2021-10, 70.8, 0.0460385429446477
2021-11, 58, -0.204404287973938
2021-12, 30.4, -0.744421642142137
2022-01, 22, -0.908774749932459
2022-02, 66, -0.0478775186498218
2022-03, 78.4, 0.194738973802558
2022-04, 94.8, 0.515618850916995
2022-05, 40.2, -0.552676349720095
2022-06, 22, -0.908774749932459
2022-07, 65.2, -0.0635301955822333
2022-08, 94.8, 0.515618850916995
2022-09, 20.4, -0.940080103797282
2022-10, 31, -0.732682134442829
2022-11, 27.6, -0.799206011405578
2022-12, 26.6, -0.818771857571092
2023-01, 8.80000000000003, -1.16704391931725
2023-02, 14.2, -1.06138835002347
2023-03, 98, 0.578229558646642
2023-04, 29.2, -0.767900657540755
2023-05, 56, -0.243535980304967
2023-06, 14.2, -1.06138835002347
2023-07, 10.2, -1.13965173468553
2023-08, 13.6, -1.07312785772278
2023-09, 87, 0.363005250825982
2023-10, 124.6, 1.09868106664933
2023-11, 59.4, -0.177012103342217
2023-12, 109, 0.793453866467301
2024-01, 50.2, -0.35701788806495
2024-02, 57.2, -0.220056964906349
2024-03, 284.8, 4.23312962236475
2024-04, 112.6, 0.863890912663153
2024-05, 30.2, -0.74833481137524
2024-06, -99.9, -99.9
2024-07, -99.9, -99.9
2024-08, -99.9, -99.9
2024-09, -99.9, -99.9
2024-10, -99.9, -99.9
2024-11, -99.9, -99.9
2024-12, -99.9, -99.9
