"Description: ","Annual number of days when TX > 25 degrees_C"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, su, normalised (all years)
2008, 217, 0.268308644653525
2009, 225, 1.1268963075448
2010, 207, -0.804925933960575
2011, 214, -0.053661728930705
2012, -99.9, -99.9
2013, 205, -1.01957284968339
2014, 207, -0.804925933960575
2015, 220, 0.590279018237755
2016, -99.9, -99.9
2017, 227, 1.34154322326762
2018, 219, 0.482955560376345
2019, 217, 0.268308644653525
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 195, -2.09280742829749
2023, 221, 0.697602476099165
2024, -99.9, -99.9
