"Description: ","Monthly number of days when TX > 25 degrees_C"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, su, normalised (all years)
2008-01, 31, 1.24353142395348
2008-02, 29, 1.04844721566547
2008-03, 31, 1.24353142395348
2008-04, 21, 0.268110382513459
2008-05, 8, -0.999936971358563
2008-06, 0, -1.78027380451058
2008-07, 8, -0.999936971358563
2008-08, 5, -1.29256328379057
2008-09, 10, -0.80485276307056
2008-10, 15, -0.317142242350551
2008-11, 28, 0.950905111521472
2008-12, 31, 1.24353142395348
2009-01, 30, 1.14598931980948
2009-02, 28, 0.950905111521472
2009-03, 31, 1.24353142395348
2009-04, 28, 0.950905111521472
2009-05, 15, -0.317142242350551
2009-06, 1, -1.68273170036658
2009-07, 2, -1.58518959622257
2009-08, 13, -0.512226450638554
2009-09, 6, -1.19502117964657
2009-10, 18, -0.0245159299185458
2009-11, 24, 0.560736694945465
2009-12, 29, 1.04844721566547
2010-01, 31, 1.24353142395348
2010-02, 27, 0.85336300737747
2010-03, 31, 1.24353142395348
2010-04, 16, -0.219600138206549
2010-05, 4, -1.39010538793457
2010-06, 0, -1.78027380451058
2010-07, 6, -1.19502117964657
2010-08, 7, -1.09747907550256
2010-09, 8, -0.999936971358563
2010-10, 19, 0.073026174225456
2010-11, 29, 1.04844721566547
2010-12, 29, 1.04844721566547
2011-01, 31, 1.24353142395348
2011-02, 28, 0.950905111521472
2011-03, 30, 1.14598931980948
2011-04, 22, 0.365652486657461
2011-05, 6, -1.19502117964657
2011-06, 3, -1.48764749207857
2011-07, 2, -1.58518959622257
2011-08, 7, -1.09747907550256
2011-09, 14, -0.414684346494553
2011-10, 14, -0.414684346494553
2011-11, 29, 1.04844721566547
2011-12, 28, 0.950905111521472
2012-01, 31, 1.24353142395348
2012-02, 29, 1.04844721566547
2012-03, 27, 0.85336300737747
2012-04, 19, 0.073026174225456
2012-05, 17, -0.122058034062548
2012-06, 6, -1.19502117964657
2012-07, 2, -1.58518959622257
2012-08, 14, -0.414684346494553
2012-09, -99.9, -99.9
2012-10, -99.9, -99.9
2012-11, 30, 1.14598931980948
2012-12, 30, 1.14598931980948
2013-01, 28, 0.950905111521472
