"Description: ","Monthly number of days when TM >= 10 degrees_C"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tmge10, normalised (all years)
2008-01, 31, 0.685317702894759
2008-02, 29, -0.0554592360724078
2008-03, 31, 0.685317702894759
2008-04, 30, 0.314929233411176
2008-05, 27, -0.796236175039575
2008-06, 20, -3.38895546142466
2008-07, 28, -0.425847705555991
2008-08, 30, 0.314929233411176
2008-09, 27, -0.796236175039575
2008-10, 30, 0.314929233411176
2008-11, 30, 0.314929233411176
2008-12, 31, 0.685317702894759
2009-01, 31, 0.685317702894759
2009-02, 28, -0.425847705555991
2009-03, 31, 0.685317702894759
2009-04, 30, 0.314929233411176
2009-05, 30, 0.314929233411176
2009-06, 22, -2.64817852245749
2009-07, 17, -4.50012086987541
2009-08, 30, 0.314929233411176
2009-09, 29, -0.0554592360724078
2009-10, 30, 0.314929233411176
2009-11, 30, 0.314929233411176
2009-12, 31, 0.685317702894759
2010-01, 31, 0.685317702894759
2010-02, 28, -0.425847705555991
2010-03, 31, 0.685317702894759
2010-04, 30, 0.314929233411176
2010-05, 31, 0.685317702894759
2010-06, 30, 0.314929233411176
2010-07, 20, -3.38895546142466
2010-08, 24, -1.90740158349033
2010-09, 30, 0.314929233411176
2010-10, 31, 0.685317702894759
2010-11, 30, 0.314929233411176
2010-12, 31, 0.685317702894759
2011-01, 31, 0.685317702894759
2011-02, 28, -0.425847705555991
2011-03, 31, 0.685317702894759
2011-04, 30, 0.314929233411176
2011-05, 31, 0.685317702894759
2011-06, 25, -1.53701311400674
2011-07, 20, -3.38895546142466
2011-08, 25, -1.53701311400674
2011-09, 30, 0.314929233411176
2011-10, 31, 0.685317702894759
2011-11, 30, 0.314929233411176
2011-12, 31, 0.685317702894759
2012-01, 31, 0.685317702894759
2012-02, 29, -0.0554592360724078
2012-03, 31, 0.685317702894759
2012-04, 30, 0.314929233411176
2012-05, 31, 0.685317702894759
2012-06, 24, -1.90740158349033
2012-07, 21, -3.01856699194108
2012-08, 30, 0.314929233411176
2012-09, -99.9, -99.9
2012-10, -99.9, -99.9
2012-11, 30, 0.314929233411176
2012-12, 31, 0.685317702894759
2013-01, 31, 0.685317702894759
2013-02, 28, -0.425847705555991
2013-03, 30, 0.314929233411176
2013-04, 30, 0.314929233411176
2013-05, 30, 0.314929233411176
2013-06, 30, 0.314929233411176
2013-07, 24, -1.90740158349033
2013-08, 22, -2.64817852245749
2013-09, 29, -0.0554592360724078
2013-10, 31, 0.685317702894759
2013-11, 30, 0.314929233411176
2013-12, 31, 0.685317702894759
2014-01, 31, 0.685317702894759
2014-02, 28, -0.425847705555991
2014-03, 31, 0.685317702894759
2014-04, 30, 0.314929233411176
2014-05, 29, -0.0554592360724078
2014-06, 27, -0.796236175039575
2014-07, 28, -0.425847705555991
2014-08, 28, -0.425847705555991
2014-09, 30, 0.314929233411176
2014-10, 31, 0.685317702894759
2014-11, 30, 0.314929233411176
2014-12, 31, 0.685317702894759
2015-01, 31, 0.685317702894759
2015-02, 28, -0.425847705555991
2015-03, 31, 0.685317702894759
2015-04, 30, 0.314929233411176
2015-05, 31, 0.685317702894759
2015-06, 29, -0.0554592360724078
2015-07, 26, -1.16662464452316
2015-08, 31, 0.685317702894759
2015-09, 30, 0.314929233411176
2015-10, 31, 0.685317702894759
2015-11, 30, 0.314929233411176
2015-12, 31, 0.685317702894759
2016-01, 31, 0.685317702894759
2016-02, 29, -0.0554592360724078
2016-03, 31, 0.685317702894759
2016-04, -99.9, -99.9
2016-05, -99.9, -99.9
2016-06, -99.9, -99.9
2016-07, -99.9, -99.9
2016-08, 31, 0.685317702894759
2016-09, 28, -0.425847705555991
2016-10, 31, 0.685317702894759
2016-11, 30, 0.314929233411176
2016-12, 31, 0.685317702894759
2017-01, 31, 0.685317702894759
2017-02, 27, -0.796236175039575
2017-03, 31, 0.685317702894759
2017-04, 30, 0.314929233411176
2017-05, 31, 0.685317702894759
2017-06, 28, -0.425847705555991
2017-07, 28, -0.425847705555991
2017-08, 31, 0.685317702894759
2017-09, 30, 0.314929233411176
2017-10, 31, 0.685317702894759
2017-11, 30, 0.314929233411176
2017-12, 31, 0.685317702894759
2018-01, 31, 0.685317702894759
2018-02, 28, -0.425847705555991
2018-03, 31, 0.685317702894759
2018-04, 30, 0.314929233411176
2018-05, 31, 0.685317702894759
2018-06, 20, -3.38895546142466
2018-07, 24, -1.90740158349033
2018-08, 22, -2.64817852245749
2018-09, 30, 0.314929233411176
2018-10, 30, 0.314929233411176
2018-11, 29, -0.0554592360724078
2018-12, 30, 0.314929233411176
2019-01, 31, 0.685317702894759
2019-02, 28, -0.425847705555991
2019-03, 31, 0.685317702894759
2019-04, 30, 0.314929233411176
2019-05, 31, 0.685317702894759
2019-06, 29, -0.0554592360724078
2019-07, 25, -1.53701311400674
2019-08, 28, -0.425847705555991
2019-09, 30, 0.314929233411176
2019-10, 31, 0.685317702894759
2019-11, 30, 0.314929233411176
2019-12, 31, 0.685317702894759
2020-01, 31, 0.685317702894759
2020-02, 29, -0.0554592360724078
2020-03, 31, 0.685317702894759
2020-04, 30, 0.314929233411176
2020-05, 31, 0.685317702894759
2020-06, 26, -1.16662464452316
2020-07, 22, -2.64817852245749
2020-08, 29, -0.0554592360724078
2020-09, 30, 0.314929233411176
2020-10, -99.9, -99.9
2020-11, -99.9, -99.9
2020-12, -99.9, -99.9
2021-01, -99.9, -99.9
2021-02, 28, -0.425847705555991
2021-03, 31, 0.685317702894759
2021-04, 30, 0.314929233411176
2021-05, 31, 0.685317702894759
2021-06, 24, -1.90740158349033
2021-07, 24, -1.90740158349033
2021-08, 29, -0.0554592360724078
2021-09, 30, 0.314929233411176
2021-10, 31, 0.685317702894759
2021-11, 30, 0.314929233411176
2021-12, 31, 0.685317702894759
2022-01, 31, 0.685317702894759
2022-02, 28, -0.425847705555991
2022-03, 31, 0.685317702894759
2022-04, 30, 0.314929233411176
2022-05, 28, -0.425847705555991
2022-06, 23, -2.27779005297391
2022-07, 30, 0.314929233411176
2022-08, 30, 0.314929233411176
2022-09, 30, 0.314929233411176
2022-10, 31, 0.685317702894759
2022-11, 30, 0.314929233411176
2022-12, 31, 0.685317702894759
2023-01, 31, 0.685317702894759
2023-02, 28, -0.425847705555991
2023-03, 31, 0.685317702894759
2023-04, 30, 0.314929233411176
2023-05, 31, 0.685317702894759
2023-06, 27, -0.796236175039575
2023-07, 27, -0.796236175039575
2023-08, 30, 0.314929233411176
2023-09, 30, 0.314929233411176
2023-10, 31, 0.685317702894759
2023-11, 30, 0.314929233411176
2023-12, 31, 0.685317702894759
2024-01, 31, 0.685317702894759
2024-02, 29, -0.0554592360724078
2024-03, 31, 0.685317702894759
2024-04, 30, 0.314929233411176
2024-05, 30, 0.314929233411176
2024-06, -99.9, -99.9
2024-07, -99.9, -99.9
2024-08, -99.9, -99.9
2024-09, -99.9, -99.9
2024-10, -99.9, -99.9
2024-11, -99.9, -99.9
2024-12, -99.9, -99.9
