"Description: ","Monthly number of days when TM < 10 degrees_C"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tmlt10, normalised (all years)
2008-01, 0, -0.452110559266301
2008-02, 0, -0.452110559266301
2008-03, 0, -0.452110559266301
2008-04, 0, -0.452110559266301
2008-05, 3, 0.680184189610462
2008-06, 7, 2.18991052144615
2008-07, 1, -0.0746789763073801
2008-08, 0, -0.452110559266301
2008-09, 3, 0.680184189610462
2008-10, 0, -0.452110559266301
2008-11, 0, -0.452110559266301
2008-12, 0, -0.452110559266301
2009-01, 0, -0.452110559266301
2009-02, 0, -0.452110559266301
2009-03, 0, -0.452110559266301
2009-04, 0, -0.452110559266301
2009-05, 1, -0.0746789763073801
2009-06, 8, 2.56734210440507
2009-07, 14, 4.8319316021586
2009-08, 1, -0.0746789763073801
2009-09, 1, -0.0746789763073801
2009-10, 0, -0.452110559266301
2009-11, 0, -0.452110559266301
2009-12, 0, -0.452110559266301
2010-01, 0, -0.452110559266301
2010-02, 0, -0.452110559266301
2010-03, 0, -0.452110559266301
2010-04, 0, -0.452110559266301
2010-05, 0, -0.452110559266301
2010-06, 0, -0.452110559266301
2010-07, 11, 3.69963685328183
2010-08, 7, 2.18991052144615
2010-09, 0, -0.452110559266301
2010-10, 0, -0.452110559266301
2010-11, 0, -0.452110559266301
2010-12, 0, -0.452110559266301
2011-01, 0, -0.452110559266301
2011-02, 0, -0.452110559266301
2011-03, 0, -0.452110559266301
2011-04, 0, -0.452110559266301
2011-05, 0, -0.452110559266301
2011-06, 5, 1.4350473555283
2011-07, 11, 3.69963685328183
2011-08, 6, 1.81247893848723
2011-09, 0, -0.452110559266301
2011-10, 0, -0.452110559266301
2011-11, 0, -0.452110559266301
2011-12, 0, -0.452110559266301
2012-01, 0, -0.452110559266301
2012-02, 0, -0.452110559266301
2012-03, 0, -0.452110559266301
2012-04, 0, -0.452110559266301
2012-05, 0, -0.452110559266301
2012-06, 6, 1.81247893848723
2012-07, 10, 3.32220527032291
2012-08, 1, -0.0746789763073801
2012-09, -99.9, -99.9
2012-10, -99.9, -99.9
2012-11, 0, -0.452110559266301
2012-12, 0, -0.452110559266301
2013-01, 0, -0.452110559266301
2013-02, 0, -0.452110559266301
2013-03, 0, -0.452110559266301
2013-04, 0, -0.452110559266301
2013-05, 1, -0.0746789763073801
2013-06, 0, -0.452110559266301
2013-07, 7, 2.18991052144615
2013-08, 9, 2.94477368736399
2013-09, 1, -0.0746789763073801
2013-10, 0, -0.452110559266301
2013-11, 0, -0.452110559266301
2013-12, 0, -0.452110559266301
2014-01, 0, -0.452110559266301
2014-02, 0, -0.452110559266301
2014-03, 0, -0.452110559266301
2014-04, 0, -0.452110559266301
2014-05, 2, 0.302752606651541
2014-06, 3, 0.680184189610462
2014-07, 3, 0.680184189610462
2014-08, 3, 0.680184189610462
2014-09, 0, -0.452110559266301
2014-10, 0, -0.452110559266301
2014-11, 0, -0.452110559266301
2014-12, 0, -0.452110559266301
2015-01, 0, -0.452110559266301
2015-02, 0, -0.452110559266301
2015-03, 0, -0.452110559266301
2015-04, 0, -0.452110559266301
2015-05, 0, -0.452110559266301
2015-06, 1, -0.0746789763073801
2015-07, 5, 1.4350473555283
2015-08, 0, -0.452110559266301
2015-09, 0, -0.452110559266301
2015-10, 0, -0.452110559266301
2015-11, 0, -0.452110559266301
2015-12, 0, -0.452110559266301
2016-01, 0, -0.452110559266301
2016-02, 0, -0.452110559266301
2016-03, 0, -0.452110559266301
2016-04, -99.9, -99.9
2016-05, -99.9, -99.9
2016-06, -99.9, -99.9
2016-07, -99.9, -99.9
2016-08, 0, -0.452110559266301
2016-09, 2, 0.302752606651541
2016-10, 0, -0.452110559266301
2016-11, 0, -0.452110559266301
2016-12, 0, -0.452110559266301
2017-01, 0, -0.452110559266301
2017-02, 0, -0.452110559266301
2017-03, 0, -0.452110559266301
2017-04, 0, -0.452110559266301
2017-05, 0, -0.452110559266301
2017-06, 2, 0.302752606651541
2017-07, 3, 0.680184189610462
2017-08, 0, -0.452110559266301
2017-09, 0, -0.452110559266301
2017-10, 0, -0.452110559266301
2017-11, 0, -0.452110559266301
2017-12, 0, -0.452110559266301
2018-01, 0, -0.452110559266301
2018-02, 0, -0.452110559266301
2018-03, 0, -0.452110559266301
2018-04, 0, -0.452110559266301
2018-05, 0, -0.452110559266301
2018-06, 10, 3.32220527032291
2018-07, 7, 2.18991052144615
2018-08, 9, 2.94477368736399
2018-09, 0, -0.452110559266301
2018-10, 0, -0.452110559266301
2018-11, 0, -0.452110559266301
2018-12, 0, -0.452110559266301
2019-01, 0, -0.452110559266301
2019-02, 0, -0.452110559266301
2019-03, 0, -0.452110559266301
2019-04, 0, -0.452110559266301
2019-05, 0, -0.452110559266301
2019-06, 1, -0.0746789763073801
2019-07, 6, 1.81247893848723
2019-08, 2, 0.302752606651541
2019-09, 0, -0.452110559266301
2019-10, 0, -0.452110559266301
2019-11, 0, -0.452110559266301
2019-12, 0, -0.452110559266301
2020-01, 0, -0.452110559266301
2020-02, 0, -0.452110559266301
2020-03, 0, -0.452110559266301
2020-04, 0, -0.452110559266301
2020-05, 0, -0.452110559266301
2020-06, 4, 1.05761577256938
2020-07, 9, 2.94477368736399
2020-08, 2, 0.302752606651541
2020-09, 0, -0.452110559266301
2020-10, -99.9, -99.9
2020-11, -99.9, -99.9
2020-12, -99.9, -99.9
2021-01, -99.9, -99.9
2021-02, 0, -0.452110559266301
2021-03, 0, -0.452110559266301
2021-04, 0, -0.452110559266301
2021-05, 0, -0.452110559266301
2021-06, 6, 1.81247893848723
2021-07, 7, 2.18991052144615
2021-08, 2, 0.302752606651541
2021-09, 0, -0.452110559266301
2021-10, 0, -0.452110559266301
2021-11, 0, -0.452110559266301
2021-12, 0, -0.452110559266301
2022-01, 0, -0.452110559266301
2022-02, 0, -0.452110559266301
2022-03, 0, -0.452110559266301
2022-04, 0, -0.452110559266301
2022-05, 3, 0.680184189610462
2022-06, 7, 2.18991052144615
2022-07, 1, -0.0746789763073801
2022-08, 1, -0.0746789763073801
2022-09, 0, -0.452110559266301
2022-10, 0, -0.452110559266301
2022-11, 0, -0.452110559266301
2022-12, 0, -0.452110559266301
2023-01, 0, -0.452110559266301
2023-02, 0, -0.452110559266301
2023-03, 0, -0.452110559266301
2023-04, 0, -0.452110559266301
2023-05, 0, -0.452110559266301
2023-06, 3, 0.680184189610462
2023-07, 4, 1.05761577256938
2023-08, 1, -0.0746789763073801
2023-09, 0, -0.452110559266301
2023-10, 0, -0.452110559266301
2023-11, 0, -0.452110559266301
2023-12, 0, -0.452110559266301
2024-01, 0, -0.452110559266301
2024-02, 0, -0.452110559266301
2024-03, 0, -0.452110559266301
2024-04, 0, -0.452110559266301
2024-05, 1, -0.0746789763073801
2024-06, -99.9, -99.9
2024-07, -99.9, -99.9
2024-08, -99.9, -99.9
2024-09, -99.9, -99.9
2024-10, -99.9, -99.9
2024-11, -99.9, -99.9
2024-12, -99.9, -99.9
