"Description: ","Annual number of days when TM < 5 degrees_C"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tmlt5, normalised (all years)
2008, 0, -0.552770798392567
2009, 1, 1.6583123951777
2010, 1, 1.6583123951777
2011, 1, 1.6583123951777
2012, -99.9, -99.9
2013, 0, -0.552770798392567
2014, 0, -0.552770798392567
2015, 0, -0.552770798392567
2016, -99.9, -99.9
2017, 0, -0.552770798392567
2018, 0, -0.552770798392567
2019, 0, -0.552770798392567
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 0, -0.552770798392567
2023, 0, -0.552770798392567
2024, -99.9, -99.9
