"Description: ","Heatwave definitions and aspects"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, HWM, HWA, HWN, HWD, HWF
2008, 22.3, 23.4, 1, 6, 6
2009, 23.3555555555556, 25.2, 3, 3, 9
2010, -99.9, -99.9, 0, -99.9, 0
2011, 23.9, 24.3, 1, 4, 4
2012, -99.9, -99.9, -99.9, -99.9, -99.9
2013, 25.4305555555556, 27.6, 3, 4, 10
2014, -99.9, -99.9, 0, -99.9, 0
2015, 21.3333333333333, 21.6, 1, 3, 3
2016, -99.9, -99.9, -99.9, -99.9, -99.9
2017, -99.9, -99.9, 0, -99.9, 0
2018, 23.65, 25.8, 2, 3, 6
2019, -99.9, -99.9, 0, -99.9, 0
2020, -99.9, -99.9, -99.9, -99.9, -99.9
2021, 26.1166666666667, 29.9, 2, 6, 9
2022, 23.5440476190476, 25.8, 4, 9, 23
2023, 24.1828571428571, 25.5, 2, 7, 12
2024, -99.9, -99.9, -99.9, -99.9, -99.9
