"Description: ","Annual number of days when TN < 2 degrees_C"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tnlt2, normalised (all years)
2008, 6, -0.0457509010871679
2009, 13, 2.03591509837896
2010, 9, 0.846391670112603
2011, 10, 1.14377252717919
2012, -99.9, -99.9
2013, 9, 0.846391670112603
2014, 2, -1.23527432935353
2015, 3, -0.937893472286939
2016, -99.9, -99.9
2017, 2, -1.23527432935353
2018, 7, 0.251629955979423
2019, 5, -0.343131758153758
2020, -99.9, -99.9
2021, 6, -0.0457509010871679
2022, 5, -0.343131758153758
2023, 3, -0.937893472286939
2024, -99.9, -99.9
