"Description: ","Monthly number of days when TN < 2 degrees_C"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tnlt2, normalised (all years)
2008-01, 0, -0.368148201409774
2008-02, 0, -0.368148201409774
2008-03, 0, -0.368148201409774
2008-04, 0, -0.368148201409774
2008-05, 1, 0.338095287008976
2008-06, 4, 2.45682575226523
2008-07, 0, -0.368148201409774
2008-08, 0, -0.368148201409774
2008-09, 1, 0.338095287008976
2008-10, 0, -0.368148201409774
2008-11, 0, -0.368148201409774
2008-12, 0, -0.368148201409774
2009-01, 0, -0.368148201409774
2009-02, 0, -0.368148201409774
2009-03, 0, -0.368148201409774
2009-04, 0, -0.368148201409774
2009-05, 0, -0.368148201409774
2009-06, 4, 2.45682575226523
2009-07, 9, 5.98804319435898
2009-08, 0, -0.368148201409774
2009-09, 0, -0.368148201409774
2009-10, 0, -0.368148201409774
2009-11, 0, -0.368148201409774
2009-12, 0, -0.368148201409774
2010-01, 0, -0.368148201409774
2010-02, 0, -0.368148201409774
2010-03, 0, -0.368148201409774
2010-04, 0, -0.368148201409774
2010-05, 0, -0.368148201409774
2010-06, 0, -0.368148201409774
2010-07, 5, 3.16306924068398
2010-08, 4, 2.45682575226523
2010-09, 0, -0.368148201409774
2010-10, 0, -0.368148201409774
2010-11, 0, -0.368148201409774
2010-12, 0, -0.368148201409774
2011-01, 0, -0.368148201409774
2011-02, 0, -0.368148201409774
2011-03, 0, -0.368148201409774
2011-04, 0, -0.368148201409774
2011-05, 0, -0.368148201409774
2011-06, 2, 1.04433877542773
2011-07, 7, 4.57555621752148
2011-08, 1, 0.338095287008976
2011-09, 0, -0.368148201409774
2011-10, 0, -0.368148201409774
2011-11, 0, -0.368148201409774
2011-12, 0, -0.368148201409774
2012-01, 0, -0.368148201409774
2012-02, 0, -0.368148201409774
2012-03, 0, -0.368148201409774
2012-04, 0, -0.368148201409774
2012-05, 0, -0.368148201409774
2012-06, 3, 1.75058226384648
2012-07, 7, 4.57555621752148
2012-08, 0, -0.368148201409774
2012-09, -99.9, -99.9
2012-10, -99.9, -99.9
2012-11, 0, -0.368148201409774
2012-12, 0, -0.368148201409774
2013-01, 0, -0.368148201409774
2013-02, 0, -0.368148201409774
2013-03, 0, -0.368148201409774
2013-04, 0, -0.368148201409774
2013-05, 0, -0.368148201409774
2013-06, 0, -0.368148201409774
2013-07, 4, 2.45682575226523
2013-08, 5, 3.16306924068398
2013-09, 0, -0.368148201409774
2013-10, 0, -0.368148201409774
2013-11, 0, -0.368148201409774
2013-12, 0, -0.368148201409774
2014-01, 0, -0.368148201409774
2014-02, 0, -0.368148201409774
2014-03, 0, -0.368148201409774
2014-04, 0, -0.368148201409774
2014-05, 0, -0.368148201409774
2014-06, 1, 0.338095287008976
2014-07, 0, -0.368148201409774
2014-08, 1, 0.338095287008976
2014-09, 0, -0.368148201409774
2014-10, 0, -0.368148201409774
2014-11, 0, -0.368148201409774
2014-12, 0, -0.368148201409774
2015-01, 0, -0.368148201409774
2015-02, 0, -0.368148201409774
2015-03, 0, -0.368148201409774
2015-04, 0, -0.368148201409774
2015-05, 0, -0.368148201409774
2015-06, 2, 1.04433877542773
2015-07, 1, 0.338095287008976
2015-08, 0, -0.368148201409774
2015-09, 0, -0.368148201409774
2015-10, 0, -0.368148201409774
2015-11, 0, -0.368148201409774
2015-12, 0, -0.368148201409774
2016-01, 0, -0.368148201409774
2016-02, 0, -0.368148201409774
2016-03, 0, -0.368148201409774
2016-04, -99.9, -99.9
2016-05, -99.9, -99.9
2016-06, -99.9, -99.9
2016-07, -99.9, -99.9
2016-08, 0, -0.368148201409774
2016-09, 0, -0.368148201409774
2016-10, 0, -0.368148201409774
2016-11, 0, -0.368148201409774
2016-12, 0, -0.368148201409774
2017-01, 0, -0.368148201409774
2017-02, 0, -0.368148201409774
2017-03, 0, -0.368148201409774
2017-04, 0, -0.368148201409774
2017-05, 0, -0.368148201409774
2017-06, 0, -0.368148201409774
2017-07, 2, 1.04433877542773
2017-08, 0, -0.368148201409774
2017-09, 0, -0.368148201409774
2017-10, 0, -0.368148201409774
2017-11, 0, -0.368148201409774
2017-12, 0, -0.368148201409774
2018-01, 0, -0.368148201409774
2018-02, 0, -0.368148201409774
2018-03, 0, -0.368148201409774
2018-04, 0, -0.368148201409774
2018-05, 0, -0.368148201409774
2018-06, 5, 3.16306924068398
2018-07, 0, -0.368148201409774
2018-08, 2, 1.04433877542773
2018-09, 0, -0.368148201409774
2018-10, 0, -0.368148201409774
2018-11, 0, -0.368148201409774
2018-12, 0, -0.368148201409774
2019-01, 0, -0.368148201409774
2019-02, 0, -0.368148201409774
2019-03, 0, -0.368148201409774
2019-04, 0, -0.368148201409774
2019-05, 0, -0.368148201409774
2019-06, 0, -0.368148201409774
2019-07, 4, 2.45682575226523
2019-08, 1, 0.338095287008976
2019-09, 0, -0.368148201409774
2019-10, 0, -0.368148201409774
2019-11, 0, -0.368148201409774
2019-12, 0, -0.368148201409774
2020-01, 0, -0.368148201409774
2020-02, 0, -0.368148201409774
2020-03, 0, -0.368148201409774
2020-04, 0, -0.368148201409774
2020-05, 0, -0.368148201409774
2020-06, 1, 0.338095287008976
2020-07, 4, 2.45682575226523
2020-08, 3, 1.75058226384648
2020-09, 0, -0.368148201409774
2020-10, -99.9, -99.9
2020-11, -99.9, -99.9
2020-12, -99.9, -99.9
2021-01, 0, -0.368148201409774
2021-02, 0, -0.368148201409774
2021-03, 0, -0.368148201409774
2021-04, 0, -0.368148201409774
2021-05, 0, -0.368148201409774
2021-06, 2, 1.04433877542773
2021-07, 4, 2.45682575226523
2021-08, 0, -0.368148201409774
2021-09, 0, -0.368148201409774
2021-10, 0, -0.368148201409774
2021-11, 0, -0.368148201409774
2021-12, 0, -0.368148201409774
2022-01, 0, -0.368148201409774
2022-02, 0, -0.368148201409774
2022-03, 0, -0.368148201409774
2022-04, 0, -0.368148201409774
2022-05, 1, 0.338095287008976
2022-06, 3, 1.75058226384648
2022-07, 0, -0.368148201409774
2022-08, 1, 0.338095287008976
2022-09, 0, -0.368148201409774
2022-10, 0, -0.368148201409774
2022-11, 0, -0.368148201409774
2022-12, 0, -0.368148201409774
2023-01, 0, -0.368148201409774
2023-02, 0, -0.368148201409774
2023-03, 0, -0.368148201409774
2023-04, 0, -0.368148201409774
2023-05, 0, -0.368148201409774
2023-06, 1, 0.338095287008976
2023-07, 1, 0.338095287008976
2023-08, 1, 0.338095287008976
2023-09, 0, -0.368148201409774
2023-10, 0, -0.368148201409774
2023-11, 0, -0.368148201409774
2023-12, 0, -0.368148201409774
2024-01, 0, -0.368148201409774
2024-02, 0, -0.368148201409774
2024-03, 0, -0.368148201409774
2024-04, 0, -0.368148201409774
2024-05, 0, -0.368148201409774
2024-06, -99.9, -99.9
2024-07, -99.9, -99.9
2024-08, -99.9, -99.9
2024-09, -99.9, -99.9
2024-10, -99.9, -99.9
2024-11, -99.9, -99.9
2024-12, -99.9, -99.9
