"Description: ","Annual coldest daily TN"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tnn, normalised (all years)
2008, 0, 0.351146205680762
2009, -1.9, -1.66590292927617
2010, -0.4, -0.0734957174680665
2011, -1.5, -1.24126100612734
2012, -99.9, -99.9
2013, -0.1, 0.244985724893555
2014, 0.8, 1.20043005197842
2015, 0.2, 0.563467167255176
2016, -99.9, -99.9
2017, -0.5, -0.179656198255273
2018, -0.5, -0.179656198255273
2019, -1.7, -1.45358196770176
2020, -99.9, -99.9
2021, 0, 0.351146205680762
2022, -0.1, 0.244985724893555
2023, 1.4, 1.83739293670166
2024, -99.9, -99.9
