"Description: ","Monthly coldest daily TN"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tnn, normalised (all years)
2008-01, 14.9, 1.31963589224298
2008-02, 13.2, 1.00231166444909
2008-03, 14.2, 1.18897297491609
2008-04, 2.8, -0.938965964407635
2008-05, 0, -1.46161763371522
2008-06, 0.1, -1.44295150266852
2008-07, 2.5, -0.994964357547733
2008-08, 3.6, -0.789636916034041
2008-09, 1.7, -1.14429340592133
2008-10, 6.6, -0.229652984633061
2008-11, 11.1, 0.610322912468408
2008-12, 11.6, 0.703653567701905
2009-01, 15, 1.33830202328968
2009-02, 16, 1.52496333375667
2009-03, 10.1, 0.423661602001415
2009-04, 9, 0.218334160487722
2009-05, 4.5, -0.621641736613747
2009-06, 0.7, -1.33095471638832
2009-07, -1.9, -1.8162741236025
2009-08, 2.3, -1.03229661964113
2009-09, 2.6, -0.976298226501034
2009-10, 6.3, -0.285651377773159
2009-11, 10.4, 0.479659995141513
2009-12, 13.6, 1.07697618863589
2010-01, 15.6, 1.45029880956988
2010-02, 12.5, 0.871648747122199
2010-03, 14, 1.15164071282269
2010-04, 7.3, -0.0989900673061661
2010-05, 5.2, -0.490978819286852
2010-06, 2.6, -0.976298226501034
2010-07, -0.4, -1.53628215790201
2010-08, 0.5, -1.36828697848172
2010-09, 6.5, -0.248319115679761
2010-10, 6.9, -0.173654591492963
2010-11, 7.8, -0.00565941207266953
2010-12, 11.5, 0.684987436655205
2011-01, 18.9, 2.06628113411095
2011-02, 16, 1.52496333375667
2011-03, 10, 0.404995470954716
2011-04, 6.6, -0.229652984633061
2011-05, 6, -0.341649770913257
2011-06, -0.2, -1.49894989580862
2011-07, -1.5, -1.74160959941571
2011-08, 0.8, -1.31228858534162
2011-09, 5.5, -0.434980426146754
2011-10, 9.7, 0.348997077814617
2011-11, 10.8, 0.55432451932831
2011-12, 11.2, 0.628989043515107
2012-01, 16.4, 1.59962785794347
2012-02, 14.4, 1.22630523700949
2012-03, 6.5, -0.248319115679761
2012-04, 6.1, -0.322983639866558
2012-05, 5, -0.52831108138025
2012-06, -3.3, -2.07759995825629
2012-07, 0.2, -1.42428537162182
2012-08, 3.1, -0.882967571267537
2012-09, -99.9, -99.9
2012-10, -99.9, -99.9
2012-11, 12.8, 0.927647140262297
2012-12, 13, 0.964979402355695
2013-01, 12.4, 0.852982616075499
2013-02, 13.1, 0.983645533402394
2013-03, 13.1, 0.983645533402394
2013-04, 8.5, 0.125003505254226
2013-05, 2.6, -0.976298226501034
2013-06, 4.2, -0.677640129753845
2013-07, 0.5, -1.36828697848172
2013-08, -0.1, -1.48028376476192
2013-09, 3.8, -0.752304653940642
2013-10, 5.9, -0.360315901959956
2013-11, 10.6, 0.516992257234911
2013-12, 15.7, 1.46896494061658
2014-01, 13.3, 1.02097779549579
2014-02, 14.6, 1.26363749910288
2014-03, 9.1, 0.237000291534422
2014-04, 7.1, -0.136322329399565
2014-05, 3.6, -0.789636916034041
2014-06, 1.8, -1.12562727487463
2014-07, 2.3, -1.03229661964113
2014-08, 0.8, -1.31228858534162
2014-09, 9.8, 0.367663208861317
2014-10, 12, 0.778318091888702
2014-11, 11.2, 0.628989043515107
2014-12, 14.5, 1.24497136805618
2015-01, 14.4, 1.22630523700949
2015-02, 15.9, 1.50629720270998
2015-03, 11.3, 0.647655174561807
2015-04, 9, 0.218334160487722
2015-05, 4.6, -0.602975605567048
2015-06, 0.2, -1.42428537162182
2015-07, 1.7, -1.14429340592133
2015-08, 5.7, -0.397648164053355
2015-09, 2.2, -1.05096275068783
2015-10, 6.8, -0.192320722539663
2015-11, 11.2, 0.628989043515107
2015-12, 11.7, 0.722319698748604
2016-01, 16.9, 1.69295851317697
2016-02, 14.2, 1.18897297491609
2016-03, 12.2, 0.8156503539821
2016-04, -99.9, -99.9
2016-05, -99.9, -99.9
2016-06, -99.9, -99.9
2016-07, -99.9, -99.9
2016-08, 2.8, -0.938965964407635
2016-09, 4.5, -0.621641736613747
2016-10, 7.4, -0.0803239362594667
2016-11, 7.2, -0.117656198352865
2016-12, 12, 0.778318091888702
2017-01, 14.4, 1.22630523700949
2017-02, 13.7, 1.09564231968259
2017-03, 10.7, 0.535658388281611
2017-04, 7.4, -0.0803239362594667
2017-05, 8.2, 0.0690051121141276
2017-06, 2.1, -1.06962888173453
2017-07, -0.5, -1.55494828894871
2017-08, 3.9, -0.733638522893943
2017-09, 10, 0.404995470954716
2017-10, 8.6, 0.143669636300925
2017-11, 7.4, -0.0803239362594667
2017-12, 13.7, 1.09564231968259
2018-01, 16.4, 1.59962785794347
2018-02, 13.7, 1.09564231968259
2018-03, 10.3, 0.460993864094814
2018-04, 16.1, 1.54362946480337
2018-05, 3.8, -0.752304653940642
2018-06, -0.5, -1.55494828894871
2018-07, 2.7, -0.957632095454335
2018-08, 1.6, -1.16295953696803
2018-09, 8, 0.0316728500207291
