"Description: ","Annual warmest daily TN"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tnx, normalised (all years)
2008, 25.9, -0.119100593813912
2009, 25.5, -0.400611088283153
2010, 26.8, 0.514298018741883
2011, 24.4, -1.17476494807357
2012, -99.9, -99.9
2013, 25.5, -0.400611088283153
2014, 27.6, 1.07731900768037
2015, 25.8, -0.189478217431221
2016, -99.9, -99.9
2017, 24.8, -0.893254453604325
2018, 24.9, -0.822876829987016
2019, 25.8, -0.189478217431221
2020, -99.9, -99.9
2021, 25.8, -0.189478217431221
2022, 29.9, 2.69600435087851
2023, 26.2, 0.0920322770380197
2024, -99.9, -99.9
