"Description: ","Monthly warmest daily TN"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tnx, normalised (all years)
2008-01, 25.7, 1.45759032549189
2008-02, 22.6, 0.411943302231584
2008-03, 22.2, 0.277021105681866
2008-04, 19.4, -0.667434270166154
2008-05, 21.3, -0.0265538365549969
2008-06, 13.6, -2.62380612013705
2008-07, 16.7, -1.57815909687674
2008-08, 16, -1.81427294083875
2008-09, 17, -1.47696744946446
2008-10, 20.1, -0.431320426204148
2008-11, 23.4, 0.681787695331017
2008-12, 25.9, 1.52505142376675
2009-01, 24.4, 1.01909318670531
2009-02, 23.6, 0.749248793605876
2009-03, 24.9, 1.18774593239246
2009-04, 20, -0.465050975341578
2009-05, 21.2, -0.0602843856924266
2009-06, 17.3, -1.37577580205217
2009-07, 15.1, -2.11784788307561
2009-08, 22, 0.209560007407008
2009-09, 19.1, -0.76862591757844
2009-10, 22.1, 0.243290556544437
2009-11, 24.3, 0.985362637567881
2009-12, 25.5, 1.39012922721703
2010-01, 25.7, 1.45759032549189
2010-02, 26.8, 1.82862636600361
2010-03, 22.2, 0.277021105681866
2010-04, 20.5, -0.296398229654431
2010-05, 17.4, -1.34204525291474
2010-06, 16.4, -1.67935074428903
2010-07, 19, -0.80235646671587
2010-08, 17.7, -1.24085360550245
2010-09, 18.3, -1.03847031067787
2010-10, 18.6, -0.937278663265587
2010-11, 19.1, -0.76862591757844
2010-12, 23.3, 0.648057146193588
2011-01, 23.5, 0.715518244468447
2011-02, 24.4, 1.01909318670531
2011-03, 21, -0.127745483967285
2011-04, 19.6, -0.599973171891294
2011-05, 16.9, -1.51069799860189
2011-06, 18.3, -1.03847031067787
2011-07, 17.6, -1.27458415463988
2011-08, 17.1, -1.44323690032703
2011-09, 18.8, -0.869817564990728
2011-10, 18.9, -0.8360870158533
2011-11, 23, 0.5468654987813
2011-12, 24, 0.884170990155593
2012-01, 23.8, 0.816709891880735
2012-02, 25, 1.22147648152989
2012-03, 23.3, 0.648057146193588
2012-04, 19.9, -0.498781524479007
2012-05, 19.6, -0.599973171891294
2012-06, 19.5, -0.633703721028724
2012-07, 20.4, -0.330128778791861
2012-08, 21.9, 0.175829458269578
2012-09, -99.9, -99.9
2012-10, -99.9, -99.9
2012-11, 22, 0.209560007407008
2012-12, 27.6, 2.09847075910305
2013-01, 22.8, 0.479404400506442
2013-02, 23.2, 0.614326597056159
2013-03, 22.2, 0.277021105681866
2013-04, 20.3, -0.363859327929289
2013-05, 20, -0.465050975341578
2013-06, 13.2, -2.75872831668677
2013-07, 20.1, -0.431320426204148
2013-08, 18.1, -1.10593140895273
2013-09, 19.3, -0.701164819303582
2013-10, 19.5, -0.633703721028724
2013-11, 23.3, 0.648057146193588
2013-12, 25.5, 1.39012922721703
2014-01, 27.6, 2.09847075910305
2014-02, 24.9, 1.18774593239246
2014-03, 20.4, -0.330128778791861
2014-04, 24.3, 0.985362637567881
2014-05, 17.8, -1.20712305636502
2014-06, 15.9, -1.84800348997618
2014-07, 18.2, -1.0722008598153
2014-08, 20.6, -0.262667680517001
2014-09, 20.3, -0.363859327929289
2014-10, 24.1, 0.917901539293023
2014-11, 25.6, 1.42385977635446
2014-12, 23.7, 0.782979342743305
2015-01, 25.8, 1.49132087462932
2015-02, 23.5, 0.715518244468447
2015-03, 23.3, 0.648057146193588
2015-04, 19.1, -0.76862591757844
2015-05, 20.9, -0.161476033104715
2015-06, 19.4, -0.667434270166154
2015-07, 18.5, -0.971009212403016
2015-08, 21.6, 0.0746378108572911
2015-09, 20.2, -0.397589877066719
2015-10, 20.6, -0.262667680517001
2015-11, 21.6, 0.0746378108572911
2015-12, 23.7, 0.782979342743305
2016-01, 25, 1.22147648152989
2016-02, 25.7, 1.45759032549189
2016-03, 22.6, 0.411943302231584
2016-04, -99.9, -99.9
2016-05, -99.9, -99.9
2016-06, -99.9, -99.9
2016-07, -99.9, -99.9
2016-08, 20.1, -0.431320426204148
2016-09, 18.2, -1.0722008598153
2016-10, 20.3, -0.363859327929289
2016-11, 21.6, 0.0746378108572911
2016-12, 24.6, 1.08655428498017
2017-01, 24.8, 1.15401538325503
2017-02, 23.7, 0.782979342743305
2017-03, 24.4, 1.01909318670531
2017-04, 21, -0.127745483967285
2017-05, 19.3, -0.701164819303582
2017-06, 19, -0.80235646671587
2017-07, 18.6, -0.937278663265587
2017-08, 22.5, 0.378212753094154
2017-09, 20.9, -0.161476033104715
2017-10, 20.9, -0.161476033104715
2017-11, 19.4, -0.667434270166154
2017-12, 23.6, 0.749248793605876
2018-01, 23.1, 0.58059604791873
2018-02, 22.4, 0.344482203956724
2018-03, 23.2, 0.614326597056159
2018-04, 23.9, 0.850440441018163
2018-05, 20.2, -0.397589877066719
2018-06, 18.8, -0.869817564990728
2018-07, 17.3, -1.37577580205217
2018-08, 18.5, -0.971009212403016
2018-09, 22.5, 0.378212753094154
2018-10, 21.2, -0.0602843856924266
2018-11, 24, 0.884170990155593
2018-12, 24.9, 1.18774593239246
2019-01, 25.8, 1.49132087462932
2019-02, 23.2, 0.614326597056159
2019-03, 21.8, 0.142098909132149
2019-04, 21.1, -0.0940149348298552
2019-05, 21.4, 0.00717671258243166
2019-06, 20.3, -0.363859327929289
2019-07, 18.5, -0.971009212403016
2019-08, 17.1, -1.44323690032703
2019-09, 21.3, -0.0265538365549969
2019-10, 23.5, 0.715518244468447
