"Description: ","Annual number of days when TN > 20 degrees_C"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tr, normalised (all years)
2008, 60, -0.359807382508034
2009, 65, 0.036590581272004
2010, 56, -0.676925753532065
2011, 60, -0.359807382508034
2012, -99.9, -99.9
2013, 60, -0.359807382508034
2014, 69, 0.353708952296035
2015, 70, 0.432988545052042
2016, -99.9, -99.9
2017, 69, 0.353708952296035
2018, 67, 0.195149766784019
2019, 63, -0.121968604240011
2020, -99.9, -99.9
2021, 38, -2.1039584231402
2022, 66, 0.115870174028012
2023, 96, 2.49425795670824
2024, -99.9, -99.9
