"Description: ","Monthly number of days when TN > 20 degrees_C"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tr, normalised (all years)
2008-01, 17, 1.60944379202452
2008-02, 12, 0.897836470997685
2008-03, 6, 0.0439076857654854
2008-04, 0, -0.810021099466714
2008-05, 3, -0.383056706850614
2008-06, 0, -0.810021099466714
2008-07, 0, -0.810021099466714
2008-08, 0, -0.810021099466714
2008-09, 0, -0.810021099466714
2008-10, 1, -0.667699635261347
2008-11, 8, 0.328550614176219
2008-12, 13, 1.04015793520305
2009-01, 11, 0.755515006792318
2009-02, 14, 1.18247939940842
2009-03, 4, -0.240735242645248
2009-04, 0, -0.810021099466714
2009-05, 1, -0.667699635261347
2009-06, 0, -0.810021099466714
2009-07, 0, -0.810021099466714
2009-08, 2, -0.525378171055981
2009-09, 0, -0.810021099466714
2009-10, 3, -0.383056706850614
2009-11, 16, 1.46712232781915
2009-12, 14, 1.18247939940842
2010-01, 18, 1.75176525622988
2010-02, 18, 1.75176525622988
2010-03, 7, 0.186229149970852
2010-04, 2, -0.525378171055981
2010-05, 0, -0.810021099466714
2010-06, 0, -0.810021099466714
2010-07, 0, -0.810021099466714
2010-08, 0, -0.810021099466714
2010-09, 0, -0.810021099466714
2010-10, 0, -0.810021099466714
2010-11, 0, -0.810021099466714
2010-12, 11, 0.755515006792318
2011-01, 26, 2.89033696987282
2011-02, 18, 1.75176525622988
2011-03, 7, 0.186229149970852
2011-04, 0, -0.810021099466714
2011-05, 0, -0.810021099466714
2011-06, 0, -0.810021099466714
2011-07, 0, -0.810021099466714
2011-08, 0, -0.810021099466714
2011-09, 0, -0.810021099466714
2011-10, 0, -0.810021099466714
2011-11, 4, -0.240735242645248
2011-12, 5, -0.0984137784398811
2012-01, 14, 1.18247939940842
2012-02, 19, 1.89408672043525
2012-03, 10, 0.613193542586952
2012-04, 0, -0.810021099466714
2012-05, 0, -0.810021099466714
2012-06, 0, -0.810021099466714
2012-07, 1, -0.667699635261347
2012-08, 1, -0.667699635261347
2012-09, -99.9, -99.9
2012-10, -99.9, -99.9
2012-11, 9, 0.470872078381585
2012-12, 11, 0.755515006792318
2013-01, 14, 1.18247939940842
2013-02, 13, 1.04015793520305
2013-03, 4, -0.240735242645248
2013-04, 2, -0.525378171055981
2013-05, 0, -0.810021099466714
2013-06, 0, -0.810021099466714
2013-07, 1, -0.667699635261347
2013-08, 0, -0.810021099466714
2013-09, 0, -0.810021099466714
2013-10, 0, -0.810021099466714
2013-11, 9, 0.470872078381585
2013-12, 17, 1.60944379202452
2014-01, 21, 2.17872964884598
2014-02, 18, 1.75176525622988
2014-03, 2, -0.525378171055981
2014-04, 5, -0.0984137784398811
2014-05, 0, -0.810021099466714
2014-06, 0, -0.810021099466714
2014-07, 0, -0.810021099466714
2014-08, 1, -0.667699635261347
2014-09, 1, -0.667699635261347
2014-10, 6, 0.0439076857654854
2014-11, 6, 0.0439076857654854
2014-12, 9, 0.470872078381585
2015-01, 20, 2.03640818464062
2015-02, 17, 1.60944379202452
2015-03, 10, 0.613193542586952
2015-04, 0, -0.810021099466714
2015-05, 1, -0.667699635261347
2015-06, 0, -0.810021099466714
2015-07, 0, -0.810021099466714
2015-08, 3, -0.383056706850614
2015-09, 1, -0.667699635261347
2015-10, 1, -0.667699635261347
2015-11, 4, -0.240735242645248
2015-12, 13, 1.04015793520305
2016-01, 23, 2.46337257725672
2016-02, 20, 2.03640818464062
2016-03, 2, -0.525378171055981
2016-04, -99.9, -99.9
2016-05, -99.9, -99.9
2016-06, -99.9, -99.9
2016-07, -99.9, -99.9
2016-08, 1, -0.667699635261347
2016-09, 0, -0.810021099466714
2016-10, 1, -0.667699635261347
2016-11, 3, -0.383056706850614
2016-12, 16, 1.46712232781915
2017-01, 24, 2.60569404146208
2017-02, 19, 1.89408672043525
2017-03, 7, 0.186229149970852
2017-04, 1, -0.667699635261347
2017-05, 0, -0.810021099466714
2017-06, 0, -0.810021099466714
2017-07, 0, -0.810021099466714
2017-08, 1, -0.667699635261347
2017-09, 3, -0.383056706850614
2017-10, 1, -0.667699635261347
2017-11, 0, -0.810021099466714
2017-12, 13, 1.04015793520305
2018-01, 16, 1.46712232781915
2018-02, 10, 0.613193542586952
2018-03, 8, 0.328550614176219
2018-04, 9, 0.470872078381585
2018-05, 1, -0.667699635261347
2018-06, 0, -0.810021099466714
2018-07, 0, -0.810021099466714
2018-08, 0, -0.810021099466714
2018-09, 2, -0.525378171055981
2018-10, 2, -0.525378171055981
2018-11, 7, 0.186229149970852
2018-12, 12, 0.897836470997685
2019-01, 22, 2.32105111305135
2019-02, 12, 0.897836470997685
2019-03, 8, 0.328550614176219
2019-04, 3, -0.383056706850614
2019-05, 2, -0.525378171055981
2019-06, 1, -0.667699635261347
2019-07, 0, -0.810021099466714
2019-08, 0, -0.810021099466714
2019-09, 1, -0.667699635261347
2019-10, 4, -0.240735242645248
2019-11, 3, -0.383056706850614
