"Description: ","Annual percentage of days when TX < 10th percentile"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tx10p, normalised (all years)
2008, 8.39734636871508, -0.970012345159767
2009, 11.0233516483516, 0.0565557241271449
2010, 10.5993150684932, -0.109210284215579
2011, 10.7534246575342, -0.0489651717981667
2012, -99.9, -99.9
2013, 18.013698630137, 2.78924901320169
2014, 9.24657534246575, -0.638028493213209
2015, 9.65753424657534, -0.477374860100011
2016, -99.9, -99.9
2017, 7.76098901098901, -1.21877960742049
2018, 11.4813535911602, 0.2355996026009
2019, 11.6071428571429, 0.284773625562023
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 11.0102739726027, 0.0514433488975847
2023, 10.9931506849315, 0.0447494475178808
2024, -99.9, -99.9
