"Description: ","Number of 2 consecutive days where both TX > 95th percentile and TN > 95th percentile"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tx2tn2, normalised (all years)
2008, 0, -0.288675134594813
2009, 1, 3.17542648054294
2010, 0, -0.288675134594813
2011, 0, -0.288675134594813
2012, -99.9, -99.9
2013, 0, -0.288675134594813
2014, 0, -0.288675134594813
2015, 0, -0.288675134594813
2016, -99.9, -99.9
2017, 0, -0.288675134594813
2018, 0, -0.288675134594813
2019, 0, -0.288675134594813
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 0, -0.288675134594813
2023, 0, -0.288675134594813
2024, -99.9, -99.9
