"Description: ","Heatwave definitions and aspects"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, HWM, HWA, HWN, HWD, HWF
2008, 36.2333333333333, 38.8, 3, 6, 12
2009, 37.35, 38.3, 1, 2, 2
2010, -99.9, -99.9, 0, -99.9, 0
2011, 38.4857142857143, 40.9, 3, 7, 13
2012, -99.9, -99.9, -99.9, -99.9, -99.9
2013, 38.5333333333333, 39.5, 1, 3, 3
2014, -99.9, -99.9, 0, -99.9, 0
2015, -99.9, -99.9, 0, -99.9, 0
2016, -99.9, -99.9, -99.9, -99.9, -99.9
2017, -99.9, -99.9, 0, -99.9, 0
2018, 33.9, 34.6, 1, 4, 4
2019, 37.5833333333333, 39.6, 2, 6, 9
2020, -99.9, -99.9, -99.9, -99.9, -99.9
2021, -99.9, -99.9, -99.9, -99.9, -99.9
2022, 38.1197916666667, 40.7, 8, 6, 32
2023, 37, 38, 3, 3, 9
2024, -99.9, -99.9, -99.9, -99.9, -99.9
