"Description: ","Value of 95th percentile of TX"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tx95t, normalised (all years)
NA, 38.46, 1.4199726971565
NA, 38.46, 1.4199726971565
NA, 37.54, 1.17685681230111
NA, 36.865, 0.998483744608294
NA, 37.2, 1.08700963746325
NA, 37.015, 1.03812220409559
NA, 37.56, 1.18214194023275
NA, 37.88, 1.26670398713897
NA, 38.24, 1.36183628990847
NA, 38.24, 1.36183628990847
NA, 38.46, 1.4199726971565
NA, 38.66, 1.47282397647289
NA, 38.84, 1.52039012785764
NA, 39.76, 1.76350601271303
NA, 38.84, 1.52039012785764
NA, 38.64, 1.46753884854125
NA, 38.6, 1.45696859267797
NA, 38.64, 1.46753884854125
NA, 38.64, 1.46753884854125
NA, 39.26, 1.63137781442206
NA, 39.56, 1.71065473339664
NA, 40.34, 1.91677472273056
NA, 39.4, 1.66837370994353
NA, 38.96, 1.55210089544747
NA, 38.96, 1.55210089544747
NA, 38.02, 1.30369988266044
NA, 37.34, 1.12400553298472
NA, 37.3, 1.11343527712144
NA, 37.54, 1.17685681230111
NA, 37.6, 1.19271219609602
NA, 37.64, 1.2032824519593
NA, 37.94, 1.28255937093389
NA, 38.34, 1.38826192956667
NA, 38.34, 1.38826192956667
NA, 37.7, 1.21913783575422
NA, 38.08, 1.31955526645536
NA, 38.08, 1.31955526645536
NA, 37.82, 1.25084860334405
NA, 37.94, 1.28255937093389
NA, 38.68, 1.47810910440453
NA, 38.8, 1.50981987199436
NA, 38.8, 1.50981987199436
NA, 38.8, 1.50981987199436
NA, 38.8, 1.50981987199436
NA, 37.96, 1.28784449886553
NA, 37.78, 1.24027834748078
NA, 37.76, 1.23499321954914
NA, 37.76, 1.23499321954914
NA, 38.44, 1.41468756922486
NA, 38.44, 1.41468756922486
NA, 37.8, 1.24556347541241
NA, 37.68, 1.21385270782258
NA, 37.68, 1.21385270782258
NA, 37.02, 1.0394434860785
NA, 37.64, 1.2032824519593
NA, 37.64, 1.2032824519593
NA, 37.34, 1.12400553298472
NA, 37.3, 1.11343527712144
NA, 37.3, 1.11343527712144
NA, 36.08, 0.791042473291464
NA, 35.88, 0.738191193975076
NA, 36.32, 0.854464008471132
NA, 35.96, 0.759331705701631
NA, 36.32, 0.854464008471132
NA, 36.62, 0.933740927445715
NA, 36.74, 0.96545169503555
NA, 37.32, 1.11872040505308
NA, 37.64, 1.2032824519593
NA, 37.84, 1.25613373127569
NA, 38.02, 1.30369988266044
NA, 38.28, 1.37240654577175
NA, 38.28, 1.37240654577175
NA, 38.02, 1.30369988266044
NA, 36.18, 0.817468112949659
NA, 35.82, 0.722335810180158
NA, 35.2, 0.558496844299352
NA, 35.9, 0.743476321906714
NA, 35.9, 0.743476321906714
NA, 35.9, 0.743476321906714
NA, 34.9, 0.479219925324766
NA, 34.3, 0.320666087375598
NA, 33.74, 0.172682505289708
NA, 33.94, 0.225533784606097
NA, 33.94, 0.225533784606097
NA, 33.84, 0.199108144947904
NA, 33.94, 0.225533784606097
NA, 33.94, 0.225533784606097
NA, 33.84, 0.199108144947904
NA, 33.84, 0.199108144947904
NA, 34.28, 0.31538095944396
NA, 34.28, 0.31538095944396
NA, 34.28, 0.31538095944396
NA, 34.02, 0.246674296332654
NA, 34.02, 0.246674296332654
NA, 33.1, 0.00355841147726203
NA, 32.435, -0.172172092249733
NA, 32.65, -0.115356966984615
NA, 32.85, -0.0625056876682248
NA, 33.01, -0.0202246642151141
NA, 33.45, 0.0960481502809439
NA, 33.63, 0.143614301665694
NA, 33.075, -0.00304799843728627
NA, 32.3, -0.207846705788297
NA, 31.88, -0.318834392352714
NA, 31.595, -0.394147465378569
NA, 31.7, -0.366400543737465
NA, 32.295, -0.209167987771205
NA, 33.245, 0.0418755889816433
NA, 33.7, 0.162112249426431
NA, 33.7, 0.162112249426431
NA, 32.295, -0.209167987771205
NA, 32.555, -0.1404613246599
NA, 32.73, -0.0942164552580596
NA, 32.665, -0.111393121035886
NA, 32.425, -0.174814656215553
NA, 32.495, -0.156316708454817
NA, 32.495, -0.156316708454817
NA, 32.43, -0.173493374232643
NA, 32.055, -0.272589522950873
NA, 32.055, -0.272589522950873
NA, 31.12, -0.519669253754994
NA, 29.265, -1.00986486941451
NA, 28.79, -1.13538665779093
NA, 28.92, -1.10103332623528
NA, 28.99, -1.08253537847454
NA, 28.295, -1.26619357409899
NA, 28.425, -1.23184024254334
NA, 29.5, -0.947764616217748
NA, 29.5, -0.947764616217748
NA, 29.045, -1.06800127666253
NA, 29.045, -1.06800127666253
NA, 28.13, -1.30979587953502
NA, 26.765, -1.67050586086937
NA, 26.5, -1.74053380596359
NA, 26.765, -1.67050586086937
NA, 27.465, -1.48552638326201
NA, 28.06, -1.32829382729575
NA, 28.625, -1.17898896322695
NA, 28.87, -1.11424614606437
NA, 30.95, -0.564592841173925
NA, 30.95, -0.564592841173925
NA, 30.51, -0.680865655669981
NA, 30.15, -0.775997958439483
NA, 29.66, -0.905483592764637
NA, 28.695, -1.16049101546622
NA, 28.255, -1.27676382996227
NA, 27.995, -1.34547049307358
NA, 27.8, -1.39700049040706
NA, 27.8, -1.39700049040706
NA, 27.8, -1.39700049040706
NA, 26.18, -1.82509585286981
NA, 25.425, -2.02460943228918
NA, 25.42, -2.02593071427209
NA, 27.005, -1.60708432568971
NA, 28.73, -1.15124204158585
NA, 28.73, -1.15124204158585
NA, 28.7, -1.15916973348331
NA, 27.71, -1.42078356609943
NA, 26.89, -1.63747381129663
NA, 26.75, -1.6744697068181
NA, 26.75, -1.6744697068181
NA, 27.71, -1.42078356609943
NA, 28.09, -1.32036613539829
NA, 28.2, -1.29129793177428
NA, 28.2, -1.29129793177428
NA, 28.15, -1.30451075160338
NA, 27.55, -1.46306458955255
NA, 27.69, -1.42606869403107
NA, 27.7, -1.42342613006525
NA, 27.97, -1.35207690298813
NA, 28.45, -1.22523383262879
NA, 29.61, -0.918696412593734
NA, 29.67, -0.902841028798817
NA, 29.34, -0.99004563967086
NA, 28.8, -1.13274409382511
NA, 28.76, -1.14331434968839
NA, 28.395, -1.2397679344408
NA, 27.7, -1.42342613006525
NA, 28.115, -1.31375972548375
NA, 28.42, -1.23316152452625
NA, 28.815, -1.12878024787638
NA, 28.1, -1.31772357143247
NA, 27.675, -1.4300325399798
NA, 27.69, -1.42606869403107
NA, 27.69, -1.42606869403107
NA, 27.69, -1.42606869403107
NA, 27.69, -1.42606869403107
NA, 28.41, -1.23580408849207
NA, 26.78, -1.66654201492064
NA, 26.6, -1.7141081663054
NA, 27.65, -1.43663894989435
NA, 27.88, -1.3758599786805
NA, 27.88, -1.3758599786805
NA, 28.08, -1.32300869936411
NA, 27.89, -1.37321741471468
NA, 28.07, -1.32565126332993
NA, 28.47, -1.21994870469715
NA, 28.56, -1.19616562900478
NA, 28.29, -1.2675148560819
NA, 28.88, -1.11160358209856
NA, 29.44, -0.963620000012665
NA, 28.79, -1.13538665779093
NA, 28.79, -1.13538665779093
NA, 28.9, -1.10631845416692
NA, 28.89, -1.10896101813274
NA, 28.79, -1.13538665779093
NA, 28.79, -1.13538665779093
NA, 28.69, -1.16181229744913
NA, 28.69, -1.16181229744913
NA, 28.685, -1.16313357943204
NA, 29.02, -1.07460768657708
NA, 30.15, -0.775997958439483
NA, 30.2, -0.762785138610386
NA, 30.2, -0.762785138610386
NA, 30.2, -0.762785138610386
NA, 30.465, -0.692757193516169
NA, 30.465, -0.692757193516169
NA, 30.43, -0.702006167396538
NA, 30.565, -0.666331553857974
NA, 30.86, -0.5883759168663
NA, 30.86, -0.5883759168663
NA, 30.82, -0.598946172729578
NA, 30.37, -0.717861551191454
NA, 30.79, -0.606873864627037
NA, 30.37, -0.717861551191454
NA, 30.82, -0.598946172729578
NA, 31.13, -0.517026689789175
NA, 31.265, -0.481352076250611
NA, 31.72, -0.361115415805826
NA, 31.72, -0.361115415805826
NA, 30.44, -0.699363603430718
NA, 30.87, -0.58573335290048
NA, 30.87, -0.58573335290048
NA, 31.39, -0.448320026677868
NA, 31.67, -0.374328235634922
NA, 31.83, -0.332047212181812
NA, 31.83, -0.332047212181812
NA, 31.83, -0.332047212181812
NA, 32.53, -0.147067734574448
NA, 32.53, -0.147067734574448
NA, 32.92, -0.0440077399074884
NA, 32.92, -0.0440077399074884
NA, 32.92, -0.0440077399074884
NA, 32.3, -0.207846705788297
NA, 31.565, -0.402075157276027
NA, 31.465, -0.428500796934222
NA, 30.665, -0.63990591419978
NA, 29.98, -0.820921545858414
NA, 29.98, -0.820921545858414
NA, 30.4, -0.709933859293996
NA, 30.925, -0.571199251088473
NA, 32.13, -0.252770293207226
NA, 33.93, 0.222891220640278
NA, 33.93, 0.222891220640278
NA, 33.93, 0.222891220640278
NA, 32.5, -0.154995426471907
NA, 31.75, -0.353187723908367
NA, 28.92, -1.10103332623528
NA, 28.985, -1.08385666045745
NA, 29.09, -1.05610973881635
NA, 28.99, -1.08253537847454
NA, 29.19, -1.02968409915815
NA, 29.65, -0.908126156730457
NA, 30.1, -0.78921077826858
NA, 30.73, -0.622729248421953
NA, 30.73, -0.622729248421953
NA, 32, -0.28712362476288
NA, 31.09, -0.527596945652452
NA, 31.09, -0.527596945652452
NA, 32.28, -0.213131833719935
NA, 33.5, 0.109260970110041
NA, 33.69, 0.15946968546061
NA, 33.69, 0.15946968546061
NA, 33.69, 0.15946968546061
NA, 32.88, -0.0545779957707661
NA, 31.26, -0.482673358233521
NA, 29.58, -0.926624104491193
NA, 31.22, -0.493243614096799
NA, 31.37, -0.453605154609507
NA, 32.3, -0.207846705788297
NA, 32.28, -0.213131833719935
NA, 32.34, -0.197276449925017
NA, 33.48, 0.103975842178401
NA, 33.48, 0.103975842178401
NA, 31, -0.551380021344828
NA, 30.81, -0.601588736695398
NA, 30.42, -0.704648731362357
NA, 30.44, -0.699363603430718
NA, 30.92, -0.572520533071383
NA, 31.19, -0.501171305994257
NA, 32.14, -0.250127729241408
NA, 32.79, -0.0783610714631422
NA, 32.43, -0.173493374232643
NA, 32.445, -0.169529528283914
NA, 32.415, -0.177457220181372
NA, 32.1, -0.260697985104685
NA, 32.195, -0.235593627429401
NA, 32.625, -0.121963376899163
NA, 34.46, 0.36294711082871
NA, 34.6, 0.399943006350183
NA, 34.675, 0.419762236093828
NA, 34.77, 0.444866593769114
NA, 36.175, 0.816146830966749
NA, 36.13, 0.804255293120563
NA, 36.13, 0.804255293120563
NA, 35.08, 0.526786076709517
NA, 32.97, -0.0307949200783918
NA, 32.965, -0.0321162020613003
NA, 33.365, 0.0735863565714782
NA, 33.595, 0.134365327785325
NA, 33.63, 0.143614301665694
NA, 34.285, 0.316702241426868
NA, 34.32, 0.325951215307237
NA, 33.695, 0.16079096744352
NA, 33.695, 0.16079096744352
NA, 33.73, 0.170039941323888
NA, 33.865, 0.205714554862452
NA, 34.29, 0.318023523409779
NA, 34.5, 0.373517366691988
