"Description: ","Monthly number of days when TX >= 30 degrees_C"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, txge30, normalised (all years)
2008-01, 24, 1.57328064337782
2008-02, 21, 1.24795427370036
2008-03, 13, 0.38041728789379
2008-04, 8, -0.161793328235316
2008-05, 3, -0.704003944364423
2008-06, 0, -1.02933031404189
2008-07, 0, -1.02933031404189
2008-08, 1, -0.920888190816066
2008-09, 1, -0.920888190816066
2008-10, 4, -0.595561821138602
2008-11, 16, 0.705743657571254
2008-12, 24, 1.57328064337782
2009-01, 25, 1.68172276660365
2009-02, 20, 1.13951215047454
2009-03, 20, 1.13951215047454
2009-04, 8, -0.161793328235316
2009-05, 4, -0.595561821138602
2009-06, 0, -1.02933031404189
2009-07, 0, -1.02933031404189
2009-08, 8, -0.161793328235316
2009-09, 0, -1.02933031404189
2009-10, 6, -0.378677574686959
2009-11, 8, -0.161793328235316
2009-12, 17, 0.814185780797076
2010-01, 17, 0.814185780797076
2010-02, 18, 0.922627904022897
2010-03, 21, 1.24795427370036
2010-04, 6, -0.378677574686959
2010-05, 0, -1.02933031404189
2010-06, 0, -1.02933031404189
2010-07, 0, -1.02933031404189
2010-08, 0, -1.02933031404189
2010-09, 0, -1.02933031404189
2010-10, 3, -0.704003944364423
2010-11, 13, 0.38041728789379
2010-12, 24, 1.57328064337782
2011-01, 29, 2.11549125950693
2011-02, 17, 0.814185780797076
2011-03, 15, 0.597301534345433
2011-04, 5, -0.48711969791278
2011-05, 0, -1.02933031404189
2011-06, 0, -1.02933031404189
2011-07, 0, -1.02933031404189
2011-08, 2, -0.812446067590244
2011-09, 3, -0.704003944364423
2011-10, 2, -0.812446067590244
2011-11, 15, 0.597301534345433
2011-12, 19, 1.03107002724872
2012-01, 25, 1.68172276660365
2012-02, 24, 1.57328064337782
2012-03, 16, 0.705743657571254
2012-04, 5, -0.48711969791278
2012-05, 0, -1.02933031404189
2012-06, 1, -0.920888190816066
2012-07, 1, -0.920888190816066
2012-08, 7, -0.270235451461138
2012-09, -99.9, -99.9
2012-10, -99.9, -99.9
