"Description: ","Annual number of days when TX >= 35 degrees_C"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, txge35, normalised (all years)
2008, 36, 0.79374721859881
2009, 23, -0.103532245904193
2010, 9, -1.06983320767666
2011, 15, -0.655704224059887
2012, -99.9, -99.9
2013, 24, -0.0345107486347309
2014, 25, 0.0345107486347309
2015, 3, -1.48396219129343
2016, -99.9, -99.9
2017, 18, -0.448639732251502
2018, 19, -0.37961823498204
2019, 22, -0.172553743173654
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 49, 1.69102668310181
2023, 51, 1.82906967764074
2024, -99.9, -99.9
