"Description: ","Monthly coldest daily TX"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, txn, normalised (all years)
2008-01, 27.3, 1.56108334424739
2008-02, 25.8, 1.28472873518372
2008-03, 26.1, 1.33999965699645
2008-04, 18, -0.152315231947395
2008-05, 10.7, -1.49724099605728
2008-06, 10.4, -1.55251191787001
2008-07, 15, -0.705024450074745
2008-08, 14.5, -0.79714265309597
2008-09, 10.9, -1.46039371484879
2008-10, 20.6, 0.326699423762975
2008-11, 20.4, 0.289852142554485
2008-12, 25.5, 1.22945781337098
2009-01, 22.3, 0.63990131403514
2009-02, 25.9, 1.30315237578796
2009-03, 26, 1.32157601639221
2009-04, 18.7, -0.0233497477176799
2009-05, 11.3, -1.38669915243181
2009-06, 12, -1.25773366820209
2009-07, 9.8, -1.66305376149548
2009-08, 12.2, -1.2208863869936
2009-09, 15.1, -0.6866008094705
2009-10, 16.2, -0.483940762823805
2009-11, 18.7, -0.0233497477176799
2009-12, 23.4, 0.842561360681835
2010-01, 26.2, 1.35842329760069
2010-02, 24.5, 1.04522140732853
2010-03, 25.9, 1.30315237578796
2010-04, 20.2, 0.253004861345995
2010-05, 14.1, -0.87083721551295
2010-06, 14.5, -0.79714265309597
2010-07, 7.4, -2.10522113599736
2010-08, 11.2, -1.40512279303605
2010-09, 14, -0.889260856117195
2010-10, 20.1, 0.234581220741751
2010-11, 24, 0.953103204307305
2010-12, 21.3, 0.45566490799269
2011-01, 25.7, 1.26630509457947
2011-02, 25.5, 1.22945781337098
2011-03, 22.1, 0.60305403282665
2011-04, 22.7, 0.71359587645212
2011-05, 17.1, -0.318127997385599
2011-06, 10, -1.62620648028699
2011-07, 11.2, -1.40512279303605
2011-08, 10.3, -1.57093555847426
2011-09, 15.4, -0.631329887657765
2011-10, 17.2, -0.299704356781355
2011-11, 22.6, 0.695172235847875
2011-12, 21.5, 0.49251218920118
2012-01, 26.5, 1.41369421941343
2012-02, 26.7, 1.45054150062192
2012-03, 19.9, 0.19773393953326
2012-04, 15.9, -0.53921168463654
2012-05, 19.2, 0.0687684553035451
2012-06, 12, -1.25773366820209
2012-07, 12.9, -1.09192090276389
2012-08, 13.9, -0.907684496721439
2012-09, -99.9, -99.9
2012-10, -99.9, -99.9
2012-11, 25.1, 1.155763250954
2012-12, 20.5, 0.30827578315873
2013-01, 22.6, 0.695172235847875
