"Description: ","Annual warmest daily TX"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, txx, normalised (all years)
2008, 39.7, 0.301573405197636
2009, 39.3, 0.094780213062112
2010, 36.8, -1.19767723778489
2011, 40.9, 0.921952981604196
2012, -99.9, -99.9
2013, 39.5, 0.198176809129874
2014, 38.7, -0.215409575141166
2015, 35.8, -1.71466021812369
2016, -99.9, -99.9
2017, 39.6, 0.249875107163755
2018, 37.5, -0.83578915154773
2019, 38, -0.577297661378329
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 42.9, 1.9559189422818
2023, 40.7, 0.818556385536438
2024, -99.9, -99.9
