"Description: ","Monthly warmest daily TX"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, txx, normalised (all years)
2008-01, 39.7, 1.48403527397492
2008-02, 37.1, 0.839344467857509
2008-03, 36.5, 0.690569666445799
2008-04, 32.3, -0.350853943436174
2008-05, 33, -0.177283341789178
2008-06, 21.8, -2.9544129681411
2008-07, 28.2, -1.36748175308286
2008-08, 31.3, -0.598811945789023
2008-09, 30.4, -0.821974147906589
2008-10, 34, 0.0706746605636726
2008-11, 38.1, 1.08730247021036
2008-12, 39.4, 1.40964787326906
2009-01, 38.5, 1.1864856711515
2009-02, 39.3, 1.38485207303378
2009-03, 35, 0.318632662916523
2009-04, 36, 0.566590665269373
2009-05, 34.3, 0.145062061269527
2009-06, 28, -1.41707335355343
2009-07, 28.6, -1.26829855214172
2009-08, 34.5, 0.194653661740098
2009-09, 28.1, -1.39227755331814
2009-10, 36.9, 0.789752867386938
2009-11, 38.3, 1.13689407068093
2009-12, 34.8, 0.269041062445952
2010-01, 35.9, 0.541794865034088
2010-02, 36.8, 0.764957067151653
2010-03, 33.9, 0.0458788603283872
2010-04, 33.7, -0.00371274014218186
2010-05, 26.8, -1.71462295637685
2010-06, 24.6, -2.26013056155312
2010-07, 29.8, -0.970748949318299
2010-08, 29.9, -0.945953149083014
2010-09, 28.3, -1.34268595284757
2010-10, 32.7, -0.251670742495032
2010-11, 35.7, 0.492203264563519
2010-12, 36.8, 0.764957067151653
2011-01, 38.1, 1.08730247021036
2011-02, 34.6, 0.219449461975383
2011-03, 35.3, 0.393020063622377
2011-04, 31, -0.673199346494879
2011-05, 27.7, -1.49146075425929
2011-06, 27.7, -1.49146075425929
2011-07, 28.6, -1.26829855214172
2011-08, 31, -0.673199346494879
2011-09, 36.4, 0.665773866210513
2011-10, 32.4, -0.326058143200888
2011-11, 37.9, 1.03771086973979
2011-12, 40.9, 1.78158487679834
2012-01, 37.4, 0.913731868563364
2012-02, 41, 1.80638067703363
2012-03, 38.2, 1.11209827044565
2012-04, 35.9, 0.541794865034088
2012-05, 29.5, -1.04513635002415
2012-06, 31.1, -0.648403546259593
2012-07, 31.3, -0.598811945789023
2012-08, 32, -0.425241344142028
2012-09, -99.9, -99.9
2012-10, -99.9, -99.9
2012-11, 36.3, 0.640978065975228
2012-12, 36.5, 0.690569666445799
2013-01, 37.6, 0.963323469033934
2013-02, 38.4, 1.16168987091621
2013-03, 32.7, -0.251670742495032
2013-04, 31.2, -0.623607746024309
2013-05, 27.8, -1.466664954024
2013-06, 25.9, -1.93778515849442
2013-07, 26.9, -1.68982715614157
2013-08, 30.8, -0.722790946965449
2013-09, 36.6, 0.715365466681084
2013-10, 34.6, 0.219449461975383
2013-11, 32.3, -0.350853943436174
2013-12, 39.5, 1.43444367350435
2014-01, 38.7, 1.23607727162207
2014-02, 38.1, 1.08730247021036
2014-03, 34.4, 0.169857861504812
2014-04, 33.1, -0.152487541553892
2014-05, 27, -1.66503135590628
2014-06, 26.9, -1.68982715614157
2014-07, 26.5, -1.78901035708271
2014-08, 31.9, -0.450037144377314
2014-09, 32.2, -0.375649743671457
2014-10, 36.8, 0.764957067151653
2014-11, 35.6, 0.467407464328234
2014-12, 35.6, 0.467407464328234
2015-01, 35.8, 0.516999064798803
2015-02, 34.2, 0.120266261034243
2015-03, 34.3, 0.145062061269527
2015-04, 32.1, -0.400445543906743
2015-05, 29.4, -1.06993215025944
2015-06, 29.2, -1.11952375073001
2015-07, 30, -0.921157348847729
2015-08, 35.8, 0.516999064798803
2015-09, 31.6, -0.524424545083168
2015-10, 32.9, -0.202079142024463
2015-11, 31.8, -0.474832944612598
2015-12, 34.3, 0.145062061269527
2016-01, 38.1, 1.08730247021036
2016-02, 34.8, 0.269041062445952
2016-03, 36.7, 0.740161266916369
2016-04, -99.9, -99.9
2016-05, -99.9, -99.9
2016-06, -99.9, -99.9
2016-07, -99.9, -99.9
2016-08, 33.4, -0.078100140848038
2016-09, 34.7, 0.244245262210669
2016-10, 33, -0.177283341789178
2016-11, 37.2, 0.864140268092795
2016-12, 38.6, 1.21128147138678
2017-01, 37, 0.814548667622224
2017-02, 35.4, 0.417815863857663
2017-03, 34.8, 0.269041062445952
2017-04, 32.1, -0.400445543906743
2017-05, 29.3, -1.09472795049472
2017-06, 27.6, -1.51625655449457
2017-07, 29.9, -0.945953149083014
2017-08, 32.7, -0.251670742495032
2017-09, 34.8, 0.269041062445952
2017-10, 33.6, -0.0285085403774673
2017-11, 36, 0.566590665269373
2017-12, 39.6, 1.45923947373964
2018-01, 36.4, 0.665773866210513
2018-02, 37.5, 0.938527668798649
2018-03, 36.6, 0.715365466681084
2018-04, 34.8, 0.269041062445952
2018-05, 29.9, -0.945953149083014
2018-06, 26, -1.91298935825913
2018-07, 28.9, -1.19391115143586
2018-08, 31.7, -0.499628744847884
2018-09, 33.6, -0.0285085403774673
2018-10, 34.4, 0.169857861504812
2018-11, 34.6, 0.219449461975383
2018-12, 37.3, 0.888936068328078
2019-01, 36, 0.566590665269373
2019-02, 37.8, 1.0129150695045
2019-03, 37.2, 0.864140268092795
2019-04, 34.2, 0.120266261034243
2019-05, 27.1, -1.64023555567099
2019-06, 30.3, -0.846769948141874
2019-07, 29.5, -1.04513635002415
2019-08, 33.2, -0.127691741318607
2019-09, 36.3, 0.640978065975228
2019-10, 38, 1.06250666997507
2019-11, 35.8, 0.516999064798803
2019-12, 37.5, 0.938527668798649
2020-01, 37.2, 0.864140268092795
2020-02, 38.2, 1.11209827044565
2020-03, 39.6, 1.45923947373964
2020-04, 35.1, 0.343428463151808
2020-05, 29.5, -1.04513635002415
2020-06, 30.6, -0.772382547436019
2020-07, 30.3, -0.846769948141874
