"Description: ","Annual number of days with at least 1 consecutive days when TX > 90th percentile"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, wsdi1, normalised (all years)
2008, -99.9, -99.9
2009, -99.9, -99.9
2010, 14, -0.917553544124231
2011, 18, -0.705227104161599
2012, -99.9, -99.9
2013, 24, -0.386737444217651
2014, 29, -0.121329394264361
2015, 22, -0.492900664198967
2016, -99.9, -99.9
2017, -99.9, -99.9
2018, -99.9, -99.9
2019, -99.9, -99.9
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 44, 0.674894755595509
2023, 68, 1.9488533953713
2024, -99.9, -99.9
