"Description: ","Annual number of days contributing to events where 6 or more consecutive days experience TX > 90th percentile"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, wsdi, normalised (all years)
2008, 0, -0.550937391025534
2009, 0, -0.550937391025534
2010, 0, -0.550937391025534
2011, 0, -0.550937391025534
2012, -99.9, -99.9
2013, 7, 1.76299965128171
2014, 0, -0.550937391025534
2015, 0, -0.550937391025534
2016, -99.9, -99.9
2017, 7, 1.76299965128171
2018, 0, -0.550937391025534
2019, 0, -0.550937391025534
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 6, 1.43243721666639
2023, 0, -0.550937391025534
2024, -99.9, -99.9
